run_id,condition,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_20260506_181837_025,low,transparency_experiment,completed,20260506_193019,2026-05-06T19:32:51+0200,5,15,0,0,45,15,114088,47819,161907,152.1895,Candidate A,max_round_majority_vote,Candidate C,0,0.886288,0.844121,0.908317,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_025/metadata.json,2,1,0,0,0.906425,0.908317,0.844121
low_20260506_181837_026,low,transparency_experiment,completed,20260506_193254,2026-05-06T19:35:42+0200,5,15,0,0,45,15,112582,49357,161939,167.3777,,max_round_no_majority,Candidate C,0,0.798591,0.780123,0.834843,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_026/metadata.json,1,1,1,0,0.780123,0.780807,0.834843
low_20260506_181837_027,low,transparency_experiment,completed,20260506_193545,2026-05-06T19:38:34+0200,5,15,0,0,45,15,113150,48516,161666,169.4756,Candidate A,max_round_majority_vote,Candidate C,0,0.847843,0.805562,0.9053,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_027/metadata.json,2,1,0,0,0.832667,0.9053,0.805562
low_20260506_181837_028,low,transparency_experiment,completed,20260506_193838,2026-05-06T19:41:30+0200,5,15,0,0,45,15,109108,48498,157606,172.7921,,max_round_no_majority,Candidate C,0,0.792591,0.763665,0.822826,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_028/metadata.json,1,1,1,0,0.822826,0.763665,0.791282
low_20260506_181837_029,low,transparency_experiment,completed,20260506_194134,2026-05-06T19:44:10+0200,5,15,0,0,45,15,111140,48222,159362,156.669,Candidate B,max_round_majority_vote,Candidate C,0,0.905276,0.900023,0.911642,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_029/metadata.json,0,2,1,0,0.911642,0.904163,0.900023
low_20260506_181837_030,low,transparency_experiment,completed,20260506_194413,2026-05-06T19:47:15+0200,5,15,0,0,45,15,117146,52553,169699,181.5848,Candidate A,max_round_majority_vote,Candidate C,0,0.809413,0.761333,0.899967,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_030/metadata.json,2,1,0,0,0.766939,0.899967,0.761333
moderate_20260506_181837_001,moderate,transparency_experiment,completed,20260506_194718,2026-05-06T19:51:00+0200,5,15,0,0,45,15,154390,57941,212331,222.5516,,max_round_no_majority,Candidate C,0,0.861538,0.831763,0.898078,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_001/metadata.json,0,1,1,1,0.898078,0.854772,0.831763
moderate_20260506_181837_002,moderate,transparency_experiment,completed,20260506_195104,2026-05-06T19:54:52+0200,5,15,2,4,45,19,178545,58981,237526,228.5508,,max_round_no_majority,Candidate C,0,0.786022,0.744539,0.825209,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_002/metadata.json,1,1,0,1,0.825209,0.788318,0.744539
moderate_20260506_181837_003,moderate,transparency_experiment,completed,20260506_195455,2026-05-06T19:58:27+0200,5,15,0,0,45,15,154754,58666,213420,212.3479,Candidate A,max_round_majority_vote,Candidate C,0,0.793271,0.734142,0.91147,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_003/metadata.json,2,1,0,0,0.734202,0.734142,0.91147
moderate_20260506_181837_004,moderate,transparency_experiment,completed,20260506_195831,2026-05-06T20:01:40+0200,5,15,0,0,45,15,150021,53909,203930,189.072,Candidate A,max_round_majority_vote,Candidate C,0,0.879872,0.858469,0.896276,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_004/metadata.json,2,1,0,0,0.896276,0.884872,0.858469
moderate_20260506_181837_005,moderate,transparency_experiment,completed,20260506_200143,2026-05-06T20:05:11+0200,5,15,0,0,45,15,153477,57527,211004,207.6227,Candidate C,max_round_majority_vote,Candidate C,1,0.783172,0.709502,0.898972,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_005/metadata.json,0,1,2,0,0.709502,0.741042,0.898972
moderate_20260506_181837_006,moderate,transparency_experiment,completed,20260506_200514,2026-05-06T20:08:22+0200,5,15,0,0,45,15,151519,54343,205862,188.4552,Candidate C,consensus,Candidate C,1,0.797484,0.741192,0.906435,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_006/metadata.json,0,0,3,0,0.744824,0.906435,0.741192
moderate_20260506_181837_007,moderate,transparency_experiment,completed,20260506_200825,2026-05-06T20:11:42+0200,5,15,0,0,45,15,156540,57934,214474,196.3511,Candidate B,max_round_majority_vote,Candidate C,0,0.762385,0.679221,0.890732,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_007/metadata.json,1,2,0,0,0.717201,0.679221,0.890732
moderate_20260506_181837_008,moderate,transparency_experiment,completed,20260506_201145,2026-05-06T20:15:19+0200,5,15,0,0,45,15,156110,57033,213143,214.5462,Candidate B,max_round_majority_vote,Candidate C,0,0.91536,0.90706,0.929728,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_008/metadata.json,1,2,0,0,0.90706,0.909291,0.929728
moderate_20260506_181837_009,moderate,transparency_experiment,completed,20260506_201522,2026-05-06T20:18:48+0200,5,15,0,0,45,15,149586,54726,204312,205.855,Candidate C,max_round_majority_vote,Candidate C,1,0.831352,0.776263,0.88199,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_009/metadata.json,0,1,2,0,0.776263,0.88199,0.835804
moderate_20260506_181837_010,moderate,transparency_experiment,completed,20260506_201851,2026-05-06T20:21:58+0200,5,15,0,0,45,15,150857,54544,205401,187.0655,,max_round_no_majority,Candidate C,0,0.779688,0.714258,0.895689,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_010/metadata.json,0,1,1,1,0.895689,0.714258,0.729117
moderate_20260506_181837_011,moderate,transparency_experiment,completed,20260506_202201,2026-05-06T20:26:17+0200,5,15,1,2,45,17,159426,61802,221228,255.6884,Candidate C,max_round_majority_vote,Candidate C,1,0.804227,0.763328,0.856744,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_011/metadata.json,0,1,2,0,0.856744,0.763328,0.79261
moderate_20260506_181837_012,moderate,transparency_experiment,completed,20260506_202620,2026-05-06T20:27:46+0200,2,6,0,0,18,6,49674,23059,72733,86.1847,Candidate C,consensus,Candidate C,1,0.915137,0.891134,0.950576,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_012/metadata.json,0,0,3,0,0.950576,0.903701,0.891134
moderate_20260506_181837_013,moderate,transparency_experiment,completed,20260506_202750,2026-05-06T20:30:59+0200,5,15,0,0,45,15,152107,54954,207061,189.0524,Candidate A,max_round_majority_vote,Candidate C,0,0.780772,0.704058,0.85046,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_013/metadata.json,2,1,0,0,0.787798,0.704058,0.85046
moderate_20260506_181837_014,moderate,transparency_experiment,completed,20260506_203102,2026-05-06T20:34:09+0200,5,15,1,2,45,17,158009,54557,212566,187.2172,Candidate B,max_round_majority_vote,Candidate C,0,0.787398,0.758948,0.808944,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_014/metadata.json,1,2,0,0,0.758948,0.808944,0.794302
moderate_20260506_181837_015,moderate,transparency_experiment,completed,20260506_203412,2026-05-06T20:35:35+0200,2,6,0,0,18,6,48824,23041,71865,83.0453,Candidate C,consensus,Candidate C,1,0.801717,0.777956,0.832083,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_015/metadata.json,0,0,3,0,0.795111,0.832083,0.777956
moderate_20260506_181837_016,moderate,transparency_experiment,completed,20260506_203538,2026-05-06T20:38:53+0200,5,15,1,2,45,17,161575,56062,217637,194.91,Candidate C,max_round_majority_vote,Candidate C,1,0.78211,0.726835,0.855746,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_016/metadata.json,1,0,2,0,0.726835,0.763748,0.855746
moderate_20260506_181837_017,moderate,transparency_experiment,completed,20260506_203856,2026-05-06T20:40:36+0200,2,6,0,0,18,6,50830,25454,76284,99.886,Candidate C,consensus,Candidate C,1,0.820394,0.764399,0.901078,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_017/metadata.json,0,0,3,0,0.764399,0.901078,0.795706
moderate_20260506_181837_018,moderate,transparency_experiment,completed,20260506_204039,2026-05-06T20:42:10+0200,2,6,0,0,18,6,48889,23647,72536,90.7472,Candidate C,consensus,Candidate C,1,0.887911,0.88464,0.889803,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_018/metadata.json,0,0,3,0,0.88464,0.889291,0.889803
moderate_20260506_181837_019,moderate,transparency_experiment,completed,20260506_204213,2026-05-06T20:45:36+0200,5,15,1,2,45,17,165654,58374,224028,203.7261,Candidate B,max_round_majority_vote,Candidate C,0,0.88124,0.869343,0.898484,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_019/metadata.json,0,2,0,1,0.869343,0.898484,0.875892
moderate_20260506_181837_020,moderate,transparency_experiment,completed,20260506_204540,2026-05-06T20:48:52+0200,5,15,0,0,45,15,158567,57032,215599,192.6963,Candidate A,max_round_majority_vote,Candidate C,0,0.80324,0.742557,0.876738,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_020/metadata.json,2,1,0,0,0.876738,0.790426,0.742557
moderate_20260506_181837_021,moderate,transparency_experiment,completed,20260506_204855,2026-05-06T20:57:35+0200,5,15,3,6,45,21,188210,62942,251152,519.7481,Candidate B,consensus,Candidate C,0,0.840522,0.783395,0.925651,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_021/metadata.json,0,3,0,0,0.925651,0.783395,0.81252
moderate_20260506_181837_022,moderate,transparency_experiment,completed,20260506_205739,2026-05-06T20:59:13+0200,2,6,0,0,18,6,50240,23680,73920,94.2186,Candidate C,consensus,Candidate C,1,0.844718,0.804142,0.892735,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_022/metadata.json,0,0,3,0,0.837278,0.892735,0.804142
moderate_20260506_181837_023,moderate,transparency_experiment,completed,20260506_205916,2026-05-06T21:02:39+0200,5,15,0,0,45,15,155520,55807,211327,203.3042,,max_round_no_majority,Candidate C,0,0.830744,0.800468,0.853609,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_023/metadata.json,1,1,0,1,0.853609,0.838154,0.800468
moderate_20260506_181837_024,moderate,transparency_experiment,completed,20260506_210242,2026-05-06T21:06:02+0200,5,15,1,2,45,17,158116,57683,215799,200.0536,Candidate B,max_round_majority_vote,Candidate C,0,0.784722,0.722591,0.877313,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_024/metadata.json,1,2,0,0,0.754263,0.877313,0.722591
moderate_20260506_181837_025,moderate,transparency_experiment,completed,20260506_210605,2026-05-06T21:09:41+0200,5,14,2,4,45,18,176339,60167,236506,215.9334,Candidate A,max_round_majority_vote,Candidate C,0,0.828144,0.801987,0.861948,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_025/metadata.json,2,1,0,0,0.861948,0.801987,0.820498
moderate_20260506_181837_026,moderate,transparency_experiment,completed,20260506_210944,2026-05-06T21:12:39+0200,5,15,0,0,45,15,148097,52891,200988,174.9947,Candidate A,max_round_majority_vote,Candidate C,0,0.859313,0.83083,0.908468,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_026/metadata.json,2,1,0,0,0.908468,0.838642,0.83083
moderate_20260506_181837_027,moderate,transparency_experiment,completed,20260506_211242,2026-05-06T21:15:51+0200,5,15,0,0,45,15,153069,53667,206736,188.9222,,max_round_no_majority,Candidate C,0,0.820504,0.798698,0.861562,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_027/metadata.json,1,1,0,1,0.798698,0.861562,0.801253
moderate_20260506_181837_028,moderate,transparency_experiment,completed,20260506_211554,2026-05-06T21:19:19+0200,5,14,1,2,45,16,154931,57193,212124,204.5957,Candidate A,max_round_majority_vote,Candidate C,0,0.821414,0.764347,0.914615,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_028/metadata.json,2,1,0,0,0.914615,0.785279,0.764347
moderate_20260506_181837_029,moderate,transparency_experiment,completed,20260506_211922,2026-05-06T21:22:31+0200,5,15,0,0,45,15,147756,52247,200003,189.0335,Candidate B,max_round_majority_vote,Candidate C,0,0.881971,0.873001,0.886969,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_029/metadata.json,1,2,0,0,0.873001,0.885943,0.886969
moderate_20260506_181837_030,moderate,transparency_experiment,completed,20260506_212234,2026-05-06T21:26:00+0200,5,15,0,0,45,15,156653,54861,211514,206.4675,Candidate C,max_round_majority_vote,Candidate C,1,0.81353,0.780988,0.834448,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_20260506_181837_030/metadata.json,0,1,2,0,0.780988,0.834448,0.825154
high_20260506_181837_001,high,transparency_experiment,completed,20260506_212603,2026-05-06T21:29:01+0200,3,9,0,0,27,9,148338,46041,194379,178.0173,Candidate A,consensus,Candidate C,0,0.836293,0.80078,0.863913,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_001/metadata.json,3,0,0,0,0.844186,0.863913,0.80078
high_20260506_181837_002,high,transparency_experiment,completed,20260506_212904,2026-05-06T21:31:10+0200,2,6,0,0,18,6,77061,31687,108748,125.7198,Candidate C,consensus,Candidate C,1,0.90868,0.899138,0.923051,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_002/metadata.json,0,0,3,0,0.923051,0.899138,0.90385
high_20260506_181837_003,high,transparency_experiment,completed,20260506_213113,2026-05-06T21:35:26+0200,4,12,1,2,36,14,242957,61418,304375,253.0531,Candidate D,consensus,Candidate C,0,0.888871,0.865522,0.904653,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_003/metadata.json,0,0,0,3,0.896439,0.904653,0.865522
high_20260506_181837_004,high,transparency_experiment,completed,20260506_213529,2026-05-06T21:37:19+0200,2,6,1,2,18,8,89731,30584,120315,110.3435,Candidate B,consensus,Candidate C,0,0.851993,0.831331,0.869834,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_004/metadata.json,0,3,0,0,0.831331,0.869834,0.854814
high_20260506_181837_005,high,transparency_experiment,completed,20260506_213723,2026-05-06T21:39:08+0200,2,6,0,0,18,6,79438,29680,109118,104.9208,Candidate C,consensus,Candidate C,1,0.804484,0.724103,0.911298,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_005/metadata.json,0,0,3,0,0.778052,0.911298,0.724103
high_20260506_181837_006,high,transparency_experiment,completed,20260506_213911,2026-05-06T21:43:27+0200,5,15,1,2,45,17,328037,71615,399652,256.1768,Candidate C,max_round_majority_vote,Candidate C,1,0.837729,0.766695,0.928262,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_006/metadata.json,0,1,2,0,0.928262,0.818229,0.766695
high_20260506_181837_007,high,transparency_experiment,completed,20260506_214330,2026-05-06T21:45:19+0200,2,6,0,0,18,6,82659,30120,112779,108.8723,Candidate C,consensus,Candidate C,1,0.807632,0.741668,0.904365,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_007/metadata.json,0,0,3,0,0.741668,0.776862,0.904365
high_20260506_181837_008,high,transparency_experiment,completed,20260506_214522,2026-05-06T21:47:00+0200,2,6,0,0,18,6,78899,27709,106608,98.2168,Candidate C,consensus,Candidate C,1,0.817004,0.77748,0.873741,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_008/metadata.json,0,0,3,0,0.873741,0.77748,0.799792
high_20260506_181837_009,high,transparency_experiment,completed,20260506_214703,2026-05-06T21:48:59+0200,2,5,2,4,18,9,85583,28164,113747,115.0085,Candidate A,consensus,Candidate C,0,0.846048,0.786833,0.916584,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/high/high_20260506_181837_009/metadata.json,3,0,0,0,0.916584,0.786833,0.834727
