run_id,condition,smm_mode,explicit_smm_memory,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,mean_gold_standard_alignment,min_gold_standard_alignment,max_gold_standard_alignment,context_alignment,memory_similarity_method,gold_standard_alignment_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,gold_alignment_agent_1,gold_alignment_agent_2,gold_alignment_agent_3,gold_check_agent_1_a_risks,gold_check_agent_1_b_risks,gold_check_agent_1_c_attention,gold_check_agent_1_c_calmness,gold_check_agent_1_c_crew_fit,gold_check_agent_1_c_reliability,gold_check_agent_1_d_risks,gold_check_agent_1_favorite_is_c,gold_check_agent_2_a_risks,gold_check_agent_2_b_risks,gold_check_agent_2_c_attention,gold_check_agent_2_c_calmness,gold_check_agent_2_c_crew_fit,gold_check_agent_2_c_reliability,gold_check_agent_2_d_risks,gold_check_agent_2_favorite_is_c,gold_check_agent_3_a_risks,gold_check_agent_3_b_risks,gold_check_agent_3_c_attention,gold_check_agent_3_c_calmness,gold_check_agent_3_c_crew_fit,gold_check_agent_3_c_reliability,gold_check_agent_3_d_risks,gold_check_agent_3_favorite_is_c,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_baseline_20260509_224515_017,low,baseline,False,transparency_experiment,completed,20260510_045325,2026-05-10T04:55:29+0200,5,15,0,0,0,15,25250,12021,37271,123.7537,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_017/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_018,low,baseline,False,transparency_experiment,completed,20260510_045532,2026-05-10T04:56:41+0200,3,9,0,0,0,9,14046,6039,20085,68.6542,Candidate B,consensus,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_018/metadata.json,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_019,low,baseline,False,transparency_experiment,completed,20260510_045644,2026-05-10T04:58:38+0200,5,15,0,0,0,15,25216,10978,36194,114.7113,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_019/metadata.json,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_020,low,baseline,False,transparency_experiment,completed,20260510_045841,2026-05-10T05:00:42+0200,5,15,0,0,0,15,25106,10641,35747,120.4792,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_020/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_021,low,baseline,False,transparency_experiment,completed,20260510_050045,2026-05-10T05:02:32+0200,5,15,0,0,0,15,25207,9922,35129,107.3558,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_021/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_022,low,baseline,False,transparency_experiment,completed,20260510_050235,2026-05-10T05:05:30+0200,5,15,0,0,0,15,25044,11343,36387,174.7508,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_022/metadata.json,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_023,low,baseline,False,transparency_experiment,completed,20260510_050532,2026-05-10T05:07:46+0200,5,15,0,0,0,15,25171,11429,36600,133.6863,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_023/metadata.json,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_024,low,baseline,False,transparency_experiment,completed,20260510_050749,2026-05-10T05:10:19+0200,5,15,0,0,0,15,25262,9983,35245,149.6643,Candidate C,consensus,Candidate C,1,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_024/metadata.json,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_025,low,baseline,False,transparency_experiment,completed,20260510_051022,2026-05-10T05:11:53+0200,5,15,0,0,0,15,25255,8368,33623,91.4883,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_025/metadata.json,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_026,low,baseline,False,transparency_experiment,completed,20260510_051156,2026-05-10T05:13:48+0200,5,15,0,0,0,15,25101,11276,36377,112.392,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_026/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_027,low,baseline,False,transparency_experiment,completed,20260510_051351,2026-05-10T05:15:48+0200,5,15,0,0,0,15,25431,11217,36648,116.6718,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_027/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_028,low,baseline,False,transparency_experiment,completed,20260510_051551,2026-05-10T05:17:57+0200,5,15,0,0,0,15,25095,11397,36492,126.1622,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_028/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_029,low,baseline,False,transparency_experiment,completed,20260510_051800,2026-05-10T05:19:32+0200,2,6,0,0,0,6,9039,4199,13238,92.4378,Candidate A,consensus,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_029/metadata.json,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_030,low,baseline,False,transparency_experiment,completed,20260510_051935,2026-05-10T05:21:28+0200,5,15,0,0,0,15,25079,10407,35486,113.1735,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_030/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_treatment_20260509_224515_001,low,treatment,True,transparency_experiment,completed,20260509_224518,2026-05-09T22:48:46+0200,5,15,0,0,45,15,114132,50250,164382,208.1006,,max_round_no_majority,Candidate C,0,0.768927,0.703995,0.827255,0.291667,0.125,0.625,0.224271,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_001/metadata.json,1,1,0,1,0.625,0.125,0.125,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.827255,0.703995,0.77553
low_treatment_20260509_224515_002,low,treatment,True,transparency_experiment,completed,20260509_224849,2026-05-09T22:52:26+0200,5,15,0,0,45,15,113904,47934,161838,216.5023,,max_round_no_majority,Candidate C,0,0.815998,0.763848,0.90602,0.375,0.25,0.5,0.305999,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_002/metadata.json,1,1,1,0,0.5,0.375,0.25,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0.763848,0.90602,0.778125
low_treatment_20260509_224515_003,low,treatment,True,transparency_experiment,completed,20260509_225229,2026-05-09T22:57:10+0200,5,15,1,2,45,17,122397,54397,176794,280.9277,Candidate D,max_round_majority_vote,Candidate C,0,0.901904,0.887873,0.926977,0.25,0.25,0.25,0.225476,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_003/metadata.json,1,0,0,2,0.25,0.25,0.25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.890863,0.926977,0.887873
low_treatment_20260509_224515_004,low,treatment,True,transparency_experiment,completed,20260509_225713,2026-05-09T23:00:38+0200,5,15,0,0,45,15,113244,47722,160966,205.489,Candidate B,max_round_majority_vote,Candidate C,0,0.841276,0.810983,0.897675,0.5,0.25,0.75,0.420638,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_004/metadata.json,0,2,1,0,0.75,0.25,0.5,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0.810983,0.897675,0.81517
low_treatment_20260509_224515_005,low,treatment,True,transparency_experiment,completed,20260509_230041,2026-05-09T23:04:10+0200,5,15,0,0,45,15,114929,48065,162994,208.7664,,max_round_no_majority,Candidate C,0,0.893317,0.868494,0.908407,0.666667,0.5,0.875,0.595545,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_005/metadata.json,0,1,1,1,0.625,0.5,0.875,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0.903049,0.908407,0.868494
low_treatment_20260509_224515_006,low,treatment,True,transparency_experiment,completed,20260509_230414,2026-05-09T23:08:08+0200,5,15,0,0,45,15,116550,51544,168094,234.2324,Candidate A,max_round_majority_vote,Candidate C,0,0.812504,0.760602,0.896131,0.5,0.125,0.75,0.406252,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_006/metadata.json,2,1,0,0,0.125,0.625,0.75,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0.780778,0.896131,0.760602
low_treatment_20260509_224515_007,low,treatment,True,transparency_experiment,completed,20260509_230811,2026-05-09T23:12:53+0200,5,15,0,0,45,15,110323,48531,158854,281.9103,Candidate A,max_round_majority_vote,Candidate C,0,0.766916,0.699158,0.814231,0.083333,0.0,0.125,0.063909,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_007/metadata.json,2,1,0,0,0.0,0.125,0.125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.814231,0.787358,0.699158
low_treatment_20260509_224515_008,low,treatment,True,transparency_experiment,completed,20260509_231256,2026-05-09T23:16:52+0200,5,15,0,0,45,15,112849,50537,163386,236.5684,Candidate A,max_round_majority_vote,Candidate C,0,0.837012,0.781026,0.923377,0.375,0.25,0.625,0.313879,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_008/metadata.json,2,0,1,0,0.625,0.25,0.25,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.781026,0.923377,0.806632
low_treatment_20260509_224515_009,low,treatment,True,transparency_experiment,completed,20260509_231655,2026-05-09T23:20:38+0200,5,14,0,0,45,14,110472,48725,159197,223.3693,Candidate C,max_round_majority_vote,Candidate C,1,0.815577,0.763083,0.913329,0.375,0.125,0.5,0.305841,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_009/metadata.json,1,0,2,0,0.5,0.125,0.5,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.763083,0.913329,0.770319
low_treatment_20260509_224515_010,low,treatment,True,transparency_experiment,completed,20260509_232042,2026-05-09T23:25:00+0200,5,15,0,0,45,15,119315,52809,172124,257.6099,,max_round_no_majority,Candidate C,0,0.784433,0.705058,0.929035,0.625,0.375,1.0,0.490271,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_010/metadata.json,1,1,1,0,1.0,0.375,0.5,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.719206,0.929035,0.705058
low_treatment_20260509_224515_011,low,treatment,True,transparency_experiment,completed,20260509_232502,2026-05-09T23:26:34+0200,2,6,0,0,18,6,44034,22097,66131,91.4755,Candidate C,consensus,Candidate C,1,0.827324,0.756614,0.925808,0.5,0.375,0.625,0.413662,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_011/metadata.json,0,0,3,0,0.375,0.5,0.625,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0.925808,0.799549,0.756614
low_treatment_20260509_224515_012,low,treatment,True,transparency_experiment,completed,20260509_232637,2026-05-09T23:28:55+0200,3,9,0,0,27,9,64698,31067,95765,138.6334,Candidate C,consensus,Candidate C,1,0.835797,0.794667,0.905287,0.666667,0.5,1.0,0.557198,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_012/metadata.json,0,0,3,0,0.5,1.0,0.5,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0.794667,0.807438,0.905287
low_treatment_20260509_224515_013,low,treatment,True,transparency_experiment,completed,20260509_232858,2026-05-09T23:33:15+0200,5,15,0,0,45,15,116295,50971,167266,256.773,,max_round_no_majority,Candidate C,0,0.901921,0.90091,0.90244,0.5,0.25,1.0,0.45096,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_013/metadata.json,1,1,1,0,1.0,0.25,0.25,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.90244,0.90091,0.902414
low_treatment_20260509_224515_014,low,treatment,True,transparency_experiment,completed,20260509_233318,2026-05-09T23:36:34+0200,5,15,0,0,45,15,110847,46188,157035,196.0992,Candidate C,max_round_majority_vote,Candidate C,1,0.903649,0.879049,0.920658,0.583333,0.375,0.75,0.527128,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_014/metadata.json,0,1,2,0,0.625,0.75,0.375,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0.920658,0.911241,0.879049
low_treatment_20260509_224515_015,low,treatment,True,transparency_experiment,completed,20260509_233638,2026-05-09T23:39:55+0200,5,15,0,0,45,15,112735,49486,162221,197.8373,Candidate C,max_round_majority_vote,Candidate C,1,0.750198,0.711423,0.806565,0.708333,0.5,1.0,0.53139,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_015/metadata.json,0,0,2,1,0.625,0.5,1.0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0.732607,0.711423,0.806565
low_treatment_20260509_224515_016,low,treatment,True,transparency_experiment,completed,20260509_233959,2026-05-09T23:43:19+0200,5,15,0,0,45,15,113188,49178,162366,200.7892,Candidate B,max_round_majority_vote,Candidate C,0,0.91199,0.898368,0.929648,0.5,0.25,0.875,0.455995,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_016/metadata.json,0,2,1,0,0.875,0.375,0.25,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.929648,0.907954,0.898368
low_treatment_20260509_224515_017,low,treatment,True,transparency_experiment,completed,20260509_234322,2026-05-09T23:46:46+0200,5,15,0,0,45,15,109289,45491,154780,203.2694,,max_round_no_majority,Candidate C,0,0.849271,0.803098,0.914813,0.625,0.5,0.75,0.530794,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_017/metadata.json,0,1,1,1,0.625,0.75,0.5,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0.803098,0.914813,0.829901
low_treatment_20260509_224515_018,low,treatment,True,transparency_experiment,completed,20260509_234648,2026-05-09T23:50:31+0200,5,15,0,0,45,15,112923,50116,163039,222.8802,Candidate B,max_round_majority_vote,Candidate C,0,0.823393,0.778864,0.908024,0.416667,0.125,0.625,0.343081,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_018/metadata.json,0,2,1,0,0.5,0.125,0.625,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0.78329,0.908024,0.778864
low_treatment_20260509_224515_019,low,treatment,True,transparency_experiment,completed,20260509_235035,2026-05-09T23:54:18+0200,5,15,0,0,45,15,113720,48649,162369,223.2828,,max_round_no_majority,Candidate C,0,0.890527,0.870033,0.913403,0.458333,0.375,0.5,0.408158,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_019/metadata.json,1,1,1,0,0.5,0.375,0.5,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0.888146,0.913403,0.870033
low_treatment_20260509_224515_020,low,treatment,True,transparency_experiment,completed,20260509_235421,2026-05-09T23:58:23+0200,5,15,0,0,45,15,111049,51311,162360,242.2322,Candidate C,consensus,Candidate C,1,0.7588,0.691702,0.854526,0.708333,0.5,1.0,0.537483,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_020/metadata.json,0,0,3,0,0.625,0.5,1.0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.691702,0.854526,0.730171
low_treatment_20260509_224515_021,low,treatment,True,transparency_experiment,completed,20260509_235826,2026-05-10T00:02:08+0200,5,15,1,2,45,17,119811,50655,170466,221.6903,,max_round_no_majority,Candidate C,0,0.83689,0.801174,0.903834,0.666667,0.5,1.0,0.557927,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_021/metadata.json,1,1,1,0,1.0,0.5,0.5,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.801174,0.903834,0.805662
low_treatment_20260509_224515_022,low,treatment,True,transparency_experiment,completed,20260510_000211,2026-05-10T00:06:20+0200,5,15,0,0,45,15,115621,50152,165773,249.3052,,max_round_no_majority,Candidate C,0,0.837136,0.812283,0.882358,0.5,0.25,0.75,0.418568,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260509_224515_022/metadata.json,1,1,1,0,0.5,0.25,0.75,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0.882358,0.812283,0.816766
