run_id,condition,smm_mode,explicit_smm_memory,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_baseline_20260508_080303_024,low,baseline,False,transparency_experiment,completed,20260508_120051,2026-05-08T12:02:16+0200,5,15,0,0,0,15,25290,10671,35961,85.2651,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_080303_024/metadata.json,1,1,1,0,,,
low_baseline_20260508_080303_025,low,baseline,False,transparency_experiment,completed,20260508_120219,2026-05-08T12:03:44+0200,5,15,0,0,0,15,25104,12153,37257,84.9748,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_080303_025/metadata.json,1,2,0,0,,,
low_baseline_20260508_080303_026,low,baseline,False,transparency_experiment,completed,20260508_120347,2026-05-08T12:05:09+0200,5,15,0,0,0,15,25086,10990,36076,82.3826,Candidate D,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_080303_026/metadata.json,0,1,0,2,,,
low_baseline_20260508_080303_027,low,baseline,False,transparency_experiment,completed,20260508_120512,2026-05-08T12:06:37+0200,5,15,0,0,0,15,25089,12683,37772,84.8223,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_080303_027/metadata.json,0,2,1,0,,,
low_baseline_20260508_080303_028,low,baseline,False,transparency_experiment,completed,20260508_120640,2026-05-08T12:08:03+0200,5,15,0,0,0,15,25160,11669,36829,83.4132,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_080303_028/metadata.json,2,1,0,0,,,
low_baseline_20260508_080303_029,low,baseline,False,transparency_experiment,completed,20260508_120806,2026-05-08T12:09:18+0200,5,15,0,0,0,15,25173,9469,34642,72.4967,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_080303_029/metadata.json,1,1,0,1,,,
low_baseline_20260508_080303_030,low,baseline,False,transparency_experiment,completed,20260508_120921,2026-05-08T12:10:41+0200,5,15,0,0,0,15,25130,11111,36241,79.6541,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_080303_030/metadata.json,1,1,0,1,,,
low_treatment_20260508_080303_001,low,treatment,True,transparency_experiment,completed,20260508_080306,2026-05-08T08:06:18+0200,5,15,0,0,45,15,120949,56484,177433,191.8995,Candidate B,max_round_majority_vote,Candidate C,0,0.827844,0.778163,0.878115,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_001/metadata.json,0,2,1,0,0.827254,0.878115,0.778163
low_treatment_20260508_080303_002,low,treatment,True,transparency_experiment,completed,20260508_080621,2026-05-08T08:07:38+0200,2,6,0,0,18,6,41249,19812,61061,76.9971,Candidate A,consensus,Candidate C,0,0.893204,0.87094,0.907205,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_002/metadata.json,3,0,0,0,0.907205,0.87094,0.901468
low_treatment_20260508_080303_003,low,treatment,True,transparency_experiment,completed,20260508_080742,2026-05-08T08:10:43+0200,5,15,0,0,45,15,111104,46341,157445,181.2082,Candidate C,max_round_majority_vote,Candidate C,1,0.788578,0.717199,0.91801,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_003/metadata.json,0,1,2,0,0.91801,0.730526,0.717199
low_treatment_20260508_080303_004,low,treatment,True,transparency_experiment,completed,20260508_081046,2026-05-08T08:13:27+0200,5,15,0,0,45,15,106643,43711,150354,161.1819,,max_round_no_majority,Candidate C,0,0.838529,0.794761,0.918129,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_004/metadata.json,0,1,1,1,0.802696,0.918129,0.794761
low_treatment_20260508_080303_005,low,treatment,True,transparency_experiment,completed,20260508_081330,2026-05-08T08:16:00+0200,5,15,0,0,45,15,115777,51950,167727,149.6908,Candidate B,max_round_majority_vote,Candidate C,0,0.887033,0.877188,0.906282,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_005/metadata.json,1,2,0,0,0.87763,0.906282,0.877188
low_treatment_20260508_080303_006,low,treatment,True,transparency_experiment,completed,20260508_081603,2026-05-08T08:18:08+0200,5,15,0,0,45,15,110316,45209,155525,125.1855,Candidate A,max_round_majority_vote,Candidate C,0,0.803957,0.742696,0.885308,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_006/metadata.json,2,1,0,0,0.885308,0.742696,0.783868
low_treatment_20260508_080303_007,low,treatment,True,transparency_experiment,completed,20260508_081811,2026-05-08T08:20:23+0200,5,15,0,0,45,15,108090,44741,152831,131.2731,Candidate A,max_round_majority_vote,Candidate C,0,0.798646,0.737579,0.900482,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_007/metadata.json,2,1,0,0,0.757878,0.737579,0.900482
low_treatment_20260508_080303_008,low,treatment,True,transparency_experiment,completed,20260508_082026,2026-05-08T08:23:02+0200,5,15,0,0,45,15,113198,47014,160212,155.9236,,max_round_no_majority,Candidate C,0,0.786067,0.715653,0.901443,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_008/metadata.json,1,1,1,0,0.901443,0.741106,0.715653
low_treatment_20260508_080303_009,low,treatment,True,transparency_experiment,completed,20260508_082305,2026-05-08T08:25:50+0200,5,15,0,0,45,15,111577,47980,159557,164.919,Candidate A,max_round_majority_vote,Candidate C,0,0.786364,0.755718,0.804849,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_009/metadata.json,2,1,0,0,0.755718,0.798525,0.804849
low_treatment_20260508_080303_010,low,treatment,True,transparency_experiment,completed,20260508_082553,2026-05-08T08:28:24+0200,5,15,0,0,45,15,120520,52216,172736,151.2854,,max_round_no_majority,Candidate C,0,0.874902,0.859033,0.888399,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_010/metadata.json,0,1,1,1,0.888399,0.877275,0.859033
low_treatment_20260508_080303_011,low,treatment,True,transparency_experiment,completed,20260508_082827,2026-05-08T08:31:10+0200,5,15,0,0,45,15,120343,54188,174531,162.4239,,max_round_no_majority,Candidate C,0,0.849026,0.808475,0.925581,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_011/metadata.json,1,1,1,0,0.808475,0.925581,0.813023
low_treatment_20260508_080303_012,low,treatment,True,transparency_experiment,completed,20260508_083113,2026-05-08T08:33:36+0200,5,15,0,0,45,15,114300,45745,160045,143.5168,,max_round_no_majority,Candidate C,0,0.919046,0.910655,0.931277,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_012/metadata.json,1,1,1,0,0.931277,0.910655,0.915205
low_treatment_20260508_080303_013,low,treatment,True,transparency_experiment,completed,20260508_083339,2026-05-08T08:36:33+0200,5,15,0,0,45,15,115926,48160,164086,173.3162,,max_round_no_majority,Candidate C,0,0.787542,0.731751,0.89428,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_013/metadata.json,1,1,1,0,0.736596,0.89428,0.731751
low_treatment_20260508_080303_014,low,treatment,True,transparency_experiment,completed,20260508_083636,2026-05-08T08:39:20+0200,5,15,0,0,45,15,115376,49615,164991,164.1668,Candidate B,max_round_majority_vote,Candidate C,0,0.823994,0.782814,0.905349,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_014/metadata.json,0,2,1,0,0.783819,0.905349,0.782814
low_treatment_20260508_080303_015,low,treatment,True,transparency_experiment,completed,20260508_083923,2026-05-08T08:42:09+0200,5,15,0,0,45,15,113417,46741,160158,165.4059,Candidate A,max_round_majority_vote,Candidate C,0,0.776635,0.726773,0.863014,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_015/metadata.json,2,1,0,0,0.863014,0.740117,0.726773
low_treatment_20260508_080303_016,low,treatment,True,transparency_experiment,completed,20260508_084211,2026-05-08T08:45:10+0200,5,15,0,0,45,15,114949,49299,164248,178.6219,,max_round_no_majority,Candidate C,0,0.808906,0.753944,0.907787,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_016/metadata.json,1,1,0,1,0.764987,0.907787,0.753944
low_treatment_20260508_080303_017,low,treatment,True,transparency_experiment,completed,20260508_084513,2026-05-08T08:46:27+0200,2,6,0,0,18,6,43314,21781,65095,73.7526,Candidate C,consensus,Candidate C,1,0.910325,0.897313,0.924782,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_017/metadata.json,0,0,3,0,0.924782,0.897313,0.90888
low_treatment_20260508_080303_018,low,treatment,True,transparency_experiment,completed,20260508_084630,2026-05-08T08:49:07+0200,5,15,0,0,45,15,110334,48198,158532,156.8775,,max_round_no_majority,Candidate C,0,0.773557,0.721494,0.804566,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_018/metadata.json,1,1,1,0,0.721494,0.79461,0.804566
low_treatment_20260508_080303_019,low,treatment,True,transparency_experiment,completed,20260508_084910,2026-05-08T08:53:34+0200,5,15,0,0,45,15,123088,58909,181997,264.035,Candidate A,max_round_majority_vote,Candidate C,0,0.844103,0.803797,0.906287,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_019/metadata.json,2,1,0,0,0.822226,0.906287,0.803797
low_treatment_20260508_080303_020,low,treatment,True,transparency_experiment,completed,20260508_085337,2026-05-08T08:54:39+0200,2,6,0,0,18,6,43121,20167,63288,61.6959,Candidate C,consensus,Candidate C,1,0.917026,0.907228,0.923029,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_020/metadata.json,0,0,3,0,0.923029,0.907228,0.920821
low_treatment_20260508_080303_021,low,treatment,True,transparency_experiment,completed,20260508_085441,2026-05-08T08:57:00+0200,5,15,0,0,45,15,112263,46983,159246,138.1764,,max_round_no_majority,Candidate C,0,0.77012,0.676794,0.868144,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_021/metadata.json,1,1,1,0,0.868144,0.765423,0.676794
low_treatment_20260508_080303_022,low,treatment,True,transparency_experiment,completed,20260508_085703,2026-05-08T08:59:32+0200,5,15,0,0,45,15,114453,47712,162165,148.7646,,max_round_no_majority,Candidate C,0,0.77605,0.733382,0.815352,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_022/metadata.json,1,1,1,0,0.779415,0.733382,0.815352
low_treatment_20260508_080303_023,low,treatment,True,transparency_experiment,completed,20260508_085935,2026-05-08T09:03:30+0200,5,15,0,0,45,15,117696,52087,169783,235.4684,Candidate B,max_round_majority_vote,Candidate C,0,0.788027,0.698903,0.841158,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_023/metadata.json,1,2,0,0,0.824019,0.698903,0.841158
low_treatment_20260508_080303_024,low,treatment,True,transparency_experiment,completed,20260508_090333,2026-05-08T09:05:57+0200,5,15,0,0,45,15,114231,47356,161587,143.4425,Candidate C,max_round_majority_vote,Candidate C,1,0.853158,0.811293,0.932542,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_024/metadata.json,0,1,2,0,0.811293,0.815639,0.932542
low_treatment_20260508_080303_025,low,treatment,True,transparency_experiment,completed,20260508_090600,2026-05-08T09:08:31+0200,5,15,0,0,45,15,113988,49193,163181,151.2619,,max_round_no_majority,Candidate C,0,0.823832,0.785408,0.891928,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_025/metadata.json,1,1,1,0,0.794159,0.891928,0.785408
low_treatment_20260508_080303_026,low,treatment,True,transparency_experiment,completed,20260508_090834,2026-05-08T09:10:58+0200,5,15,0,0,45,15,113380,50152,163532,143.8853,Candidate B,max_round_majority_vote,Candidate C,0,0.804773,0.737771,0.910617,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_026/metadata.json,1,2,0,0,0.765932,0.910617,0.737771
low_treatment_20260508_080303_027,low,treatment,True,transparency_experiment,completed,20260508_091101,2026-05-08T09:13:56+0200,5,15,1,2,45,17,119492,48519,168011,175.0282,,max_round_no_majority,Candidate C,0,0.844328,0.79842,0.924667,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_027/metadata.json,0,1,1,1,0.809896,0.924667,0.79842
low_treatment_20260508_080303_028,low,treatment,True,transparency_experiment,completed,20260508_091359,2026-05-08T09:17:35+0200,5,15,0,0,45,15,117468,49442,166910,216.0175,,max_round_no_majority,Candidate C,0,0.909136,0.903229,0.919759,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_028/metadata.json,1,1,0,1,0.904421,0.903229,0.919759
low_treatment_20260508_080303_029,low,treatment,True,transparency_experiment,completed,20260508_091738,2026-05-08T09:20:59+0200,5,15,0,0,45,15,115419,49409,164828,200.7845,,max_round_no_majority,Candidate C,0,0.910833,0.899174,0.9282,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_029/metadata.json,1,1,1,0,0.9282,0.905126,0.899174
low_treatment_20260508_080303_030,low,treatment,True,transparency_experiment,completed,20260508_092102,2026-05-08T09:25:15+0200,5,15,0,0,45,15,118083,49226,167309,252.6215,Candidate A,max_round_majority_vote,Candidate C,0,0.818894,0.760834,0.917982,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_080303_030/metadata.json,2,1,0,0,0.760834,0.917982,0.777866
moderate_baseline_20260508_080303_001,moderate,baseline,False,transparency_experiment,completed,20260508_121044,2026-05-08T12:11:13+0200,2,6,0,0,0,6,10358,3965,14323,29.034,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_001/metadata.json,0,3,0,0,,,
moderate_baseline_20260508_080303_002,moderate,baseline,False,transparency_experiment,completed,20260508_121116,2026-05-08T12:12:45+0200,5,15,0,0,0,15,32889,12683,45572,89.4715,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_002/metadata.json,0,1,1,1,,,
moderate_baseline_20260508_080303_003,moderate,baseline,False,transparency_experiment,completed,20260508_121248,2026-05-08T12:13:28+0200,2,6,0,0,0,6,10532,4946,15478,39.8024,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_003/metadata.json,0,3,0,0,,,
moderate_baseline_20260508_080303_004,moderate,baseline,False,transparency_experiment,completed,20260508_121331,2026-05-08T12:14:30+0200,4,12,1,2,0,14,30290,9149,39439,59.2589,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_004/metadata.json,0,0,3,0,,,
moderate_baseline_20260508_080303_005,moderate,baseline,False,transparency_experiment,completed,20260508_121433,2026-05-08T12:15:11+0200,2,6,0,0,0,6,10506,5199,15705,37.5146,Candidate A,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_005/metadata.json,3,0,0,0,,,
moderate_baseline_20260508_080303_006,moderate,baseline,False,transparency_experiment,completed,20260508_121514,2026-05-08T12:16:43+0200,5,15,0,0,0,15,33448,13408,46856,89.2787,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_006/metadata.json,0,2,0,1,,,
moderate_baseline_20260508_080303_007,moderate,baseline,False,transparency_experiment,completed,20260508_121646,2026-05-08T12:18:20+0200,5,15,0,0,0,15,32518,13304,45822,94.5201,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_007/metadata.json,1,1,0,1,,,
moderate_baseline_20260508_080303_008,moderate,baseline,False,transparency_experiment,completed,20260508_121823,2026-05-08T12:19:28+0200,4,12,0,0,0,12,25240,9456,34696,64.7505,Candidate D,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_008/metadata.json,0,0,0,3,,,
moderate_baseline_20260508_080303_009,moderate,baseline,False,transparency_experiment,completed,20260508_121931,2026-05-08T12:21:03+0200,5,15,0,0,0,15,33483,13054,46537,91.811,Candidate C,max_round_majority_vote,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_009/metadata.json,0,0,2,1,,,
moderate_baseline_20260508_080303_010,moderate,baseline,False,transparency_experiment,completed,20260508_122106,2026-05-08T12:22:41+0200,5,15,0,0,0,15,33522,13924,47446,95.3932,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_010/metadata.json,1,2,0,0,,,
moderate_baseline_20260508_080303_011,moderate,baseline,False,transparency_experiment,completed,20260508_122244,2026-05-08T12:24:13+0200,5,15,0,0,0,15,33597,12783,46380,88.4649,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_011/metadata.json,0,0,3,0,,,
moderate_baseline_20260508_080303_012,moderate,baseline,False,transparency_experiment,completed,20260508_122415,2026-05-08T12:25:15+0200,3,9,0,0,0,9,17079,7849,24928,59.3749,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_012/metadata.json,0,0,3,0,,,
moderate_baseline_20260508_080303_013,moderate,baseline,False,transparency_experiment,completed,20260508_122518,2026-05-08T12:26:14+0200,3,9,0,0,0,9,16873,7813,24686,56.0019,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_013/metadata.json,0,3,0,0,,,
moderate_baseline_20260508_080303_014,moderate,baseline,False,transparency_experiment,completed,20260508_122617,2026-05-08T12:27:40+0200,5,15,0,0,0,15,33402,11208,44610,83.1578,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_014/metadata.json,2,1,0,0,,,
moderate_baseline_20260508_080303_015,moderate,baseline,False,transparency_experiment,completed,20260508_122743,2026-05-08T12:28:55+0200,4,12,0,0,0,12,24916,10315,35231,71.759,Candidate D,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260508_080303_015/metadata.json,0,0,0,3,,,
