run_id,condition,context_transparency_condition,input_history_scope,input_thought_history,smm_memory_scope,thought_history_items,smm_mode,explicit_smm_memory,run_tag,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260525_120520_011,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_011,completed,20260525_134533,2026-05-25T13:54:28+0200,3,9,6,12,26,21,134912,96939,231851,534.7125,Candidate B,consensus,Candidate C,0,0.956633,0.953733,0.961218,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_011/metadata.json,0,3,0,0,0.954948,0.961218,0.953733
low_treatment_20260525_120520_012,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_012,completed,20260525_135431,2026-05-25T13:59:24+0200,2,6,3,6,17,12,80019,55555,135574,293.3542,Candidate B,consensus,Candidate C,0,0.933372,0.922337,0.946958,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_012/metadata.json,0,3,0,0,0.946958,0.922337,0.930822
low_treatment_20260525_120520_013,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_013,completed,20260525_135927,2026-05-25T14:04:27+0200,2,6,5,10,18,16,94923,55238,150161,299.7128,Candidate C,consensus,Candidate C,1,0.95467,0.946239,0.959911,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_013/metadata.json,0,0,3,0,0.959911,0.95786,0.946239
low_treatment_20260525_120520_014,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_014,completed,20260525_140430,2026-05-25T14:18:59+0200,5,15,8,16,42,31,206063,165285,371348,869.0261,Candidate B,max_round_majority_vote,Candidate C,0,0.95571,0.949933,0.962399,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_014/metadata.json,1,2,0,0,0.962399,0.949933,0.954797
low_treatment_20260525_120520_015,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_015,completed,20260525_141903,2026-05-25T14:24:27+0200,2,6,3,6,17,12,79936,60568,140504,324.6235,Candidate B,consensus,Candidate C,0,0.950228,0.945577,0.956554,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_015/metadata.json,0,3,0,0,0.956554,0.948554,0.945577
low_treatment_20260525_120520_016,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_016,completed,20260525_142430,2026-05-25T14:29:44+0200,2,6,2,4,18,10,77450,59697,137147,313.6982,Candidate B,consensus,Candidate C,0,0.932831,0.919961,0.954573,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_016/metadata.json,0,3,0,0,0.919961,0.954573,0.923958
low_treatment_20260525_120520_017,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_017,completed,20260525_142947,2026-05-25T14:35:15+0200,2,6,4,8,17,14,87666,62782,150448,328.4983,Candidate D,consensus,Candidate C,0,0.94909,0.946883,0.952184,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_017/metadata.json,0,0,0,3,0.946883,0.948202,0.952184
low_treatment_20260525_120520_018,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_018,completed,20260525_143519,2026-05-25T14:40:24+0200,2,6,1,2,18,8,69060,58156,127216,305.5667,Candidate C,consensus,Candidate C,1,0.952784,0.942551,0.965655,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_018/metadata.json,0,0,3,0,0.965655,0.950145,0.942551
low_treatment_20260525_120520_019,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_019,completed,20260525_144027,2026-05-25T14:50:41+0200,4,12,8,16,36,28,174633,115726,290359,613.5778,Candidate C,consensus,Candidate C,1,0.954628,0.951517,0.956932,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_019/metadata.json,0,0,3,0,0.951517,0.955435,0.956932
low_treatment_20260525_120520_020,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_020,completed,20260525_145044,2026-05-25T15:05:45+0200,5,15,10,20,45,35,221354,164482,385836,900.4491,Candidate C,max_round_majority_vote,Candidate C,1,0.944569,0.933127,0.959367,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_020/metadata.json,0,1,2,0,0.959367,0.941214,0.933127
low_treatment_20260525_120520_021,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_021,completed,20260525_150548,2026-05-25T15:13:48+0200,3,9,4,8,26,17,121178,88832,210010,480.239,Candidate C,consensus,Candidate C,1,0.952657,0.943814,0.962714,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_021/metadata.json,0,0,3,0,0.962714,0.951443,0.943814
low_treatment_20260525_120520_022,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_022,completed,20260525_151351,2026-05-25T15:24:54+0200,4,12,5,10,35,22,154003,126950,280953,663.168,Candidate C,consensus,Candidate C,1,0.937075,0.922584,0.946719,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_022/metadata.json,0,0,3,0,0.922584,0.941923,0.946719
low_treatment_20260525_120520_023,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_023,completed,20260525_152458,2026-05-25T15:30:28+0200,2,6,3,6,17,12,80109,61993,142102,330.0637,Candidate B,consensus,Candidate C,0,0.923033,0.902831,0.953691,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_023/metadata.json,0,3,0,0,0.912577,0.953691,0.902831
low_treatment_20260525_120520_024,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_024,completed,20260525_153031,2026-05-25T15:38:53+0200,3,9,4,8,27,17,116151,97467,213618,502.7551,Candidate B,consensus,Candidate C,0,0.955705,0.95103,0.958972,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_024/metadata.json,0,3,0,0,0.958972,0.95103,0.957114
low_treatment_20260525_120520_025,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_025,completed,20260525_153857,2026-05-25T15:51:43+0200,5,15,7,14,45,29,195025,145266,340291,765.5142,,max_round_no_majority,Candidate C,0,0.94973,0.943754,0.960624,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_025/metadata.json,0,1,1,1,0.943754,0.960624,0.944813
low_treatment_20260525_120520_026,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_026,completed,20260525_155146,2026-05-25T15:57:26+0200,2,6,4,8,17,14,88257,64715,152972,339.2927,Candidate C,consensus,Candidate C,1,0.937675,0.935364,0.940797,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_026/metadata.json,0,0,3,0,0.935364,0.936865,0.940797
low_treatment_20260525_120520_027,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_027,completed,20260525_155729,2026-05-25T16:10:07+0200,5,15,4,8,45,23,182228,144490,326718,758.2655,Candidate C,max_round_majority_vote,Candidate C,1,0.944016,0.934779,0.949429,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_027/metadata.json,0,1,2,0,0.947839,0.949429,0.934779
low_treatment_20260525_120520_028,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_028,completed,20260525_161010,2026-05-25T16:17:44+0200,3,9,3,6,26,15,109652,86122,195774,453.3087,Candidate C,consensus,Candidate C,1,0.946603,0.93478,0.957062,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_028/metadata.json,0,0,3,0,0.947968,0.957062,0.93478
low_treatment_20260525_120520_029,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_029,completed,20260525_161747,2026-05-25T16:41:18+0200,5,15,8,16,44,31,203672,156624,360296,1411.4613,Candidate B,max_round_majority_vote,Candidate C,0,0.950317,0.940431,0.956493,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_029/metadata.json,0,2,0,1,0.954027,0.940431,0.956493
low_treatment_20260525_120520_030,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_030,completed,20260525_164121,2026-05-25T16:47:08+0200,2,6,6,12,18,18,102600,62281,164881,346.2143,Candidate B,consensus,Candidate C,0,0.960835,0.958587,0.962464,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_030/metadata.json,0,3,0,0,0.958587,0.962464,0.961454
moderate_baseline_20260525_120520_001,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_001,completed,20260525_235959,2026-05-26T00:01:16+0200,3,9,2,4,0,13,38513,9069,47582,77.4956,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_001/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_002,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_002,completed,20260526_000120,2026-05-26T00:02:29+0200,2,6,4,8,0,14,34137,8410,42547,69.5532,Candidate D,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_002/metadata.json,0,0,0,3,,,
moderate_baseline_20260525_120520_003,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_003,completed,20260526_000232,2026-05-26T00:03:09+0200,2,6,0,0,0,6,15374,4417,19791,36.5697,Candidate A,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_003/metadata.json,3,0,0,0,,,
moderate_baseline_20260525_120520_004,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_004,completed,20260526_000312,2026-05-26T00:03:57+0200,2,6,1,2,0,8,20076,5394,25470,44.5576,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_004/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_005,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_005,completed,20260526_000400,2026-05-26T00:04:59+0200,2,6,1,2,0,8,20979,7152,28131,58.7415,Candidate D,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_005/metadata.json,0,0,0,3,,,
moderate_baseline_20260525_120520_006,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_006,completed,20260526_000502,2026-05-26T00:05:54+0200,2,6,1,2,0,8,20674,6407,27081,52.2976,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_006/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_007,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_007,completed,20260526_000557,2026-05-26T00:07:35+0200,4,12,0,0,0,12,39453,11799,51252,98.1835,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_007/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_008,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_008,completed,20260526_000739,2026-05-26T00:09:01+0200,2,6,5,10,0,16,40884,10033,50917,82.4895,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_008/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_009,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_009,completed,20260526_000904,2026-05-26T00:09:58+0200,2,6,1,2,0,8,20362,6456,26818,53.3144,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_009/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_010,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_010,completed,20260526_001001,2026-05-26T00:12:09+0200,5,15,2,4,0,19,68619,15206,83825,128.2398,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_010/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_011,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_011,completed,20260526_001212,2026-05-26T00:13:18+0200,2,6,3,6,0,12,27980,8007,35987,65.9047,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_011/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_012,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_012,completed,20260526_001321,2026-05-26T00:14:26+0200,2,6,2,4,0,10,24413,7861,32274,64.3808,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_012/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_013,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_013,completed,20260526_001429,2026-05-26T00:15:10+0200,2,6,0,0,0,6,15451,4911,20362,40.6429,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_013/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_014,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_014,completed,20260526_001513,2026-05-26T00:16:25+0200,3,9,2,4,0,13,38450,8517,46967,71.8679,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_014/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_015,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_015,completed,20260526_001628,2026-05-26T00:17:18+0200,2,6,1,2,0,8,20094,6065,26159,49.9757,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_015/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_016,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_016,completed,20260526_001721,2026-05-26T00:18:44+0200,3,9,2,4,0,13,39060,10013,49073,83.2614,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_016/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_017,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_017,completed,20260526_001847,2026-05-26T00:19:36+0200,2,6,1,2,0,8,20256,5845,26101,48.4968,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_017/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_018,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_018,completed,20260526_001939,2026-05-26T00:20:16+0200,2,6,0,0,0,6,15443,4499,19942,37.1648,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_018/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_019,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_019,completed,20260526_002019,2026-05-26T00:21:11+0200,2,6,2,4,0,10,25358,6201,31559,51.4325,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_019/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_020,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_020,completed,20260526_002114,2026-05-26T00:22:08+0200,2,6,1,2,0,8,19712,6623,26335,54.3743,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_020/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_021,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_021,completed,20260526_002212,2026-05-26T00:23:23+0200,2,6,3,6,0,12,28530,8742,37272,71.2485,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_021/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_022,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_022,completed,20260526_002326,2026-05-26T00:24:22+0200,2,6,2,4,0,10,25028,6709,31737,55.423,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_022/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_023,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_023,completed,20260526_002425,2026-05-26T00:25:42+0200,2,6,3,6,0,12,30880,9478,40358,77.5867,Candidate D,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_023/metadata.json,0,0,0,3,,,
moderate_baseline_20260525_120520_024,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_024,completed,20260526_002546,2026-05-26T00:26:19+0200,2,6,0,0,0,6,15438,3975,19413,32.9997,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_024/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_025,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_025,completed,20260526_002622,2026-05-26T00:27:32+0200,3,9,0,0,0,9,25491,8410,33901,70.0534,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_025/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_026,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_026,completed,20260526_002735,2026-05-26T00:28:23+0200,2,6,1,2,0,8,19157,5888,25045,48.2328,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_026/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_027,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_027,completed,20260526_002826,2026-05-26T00:29:39+0200,3,9,1,2,0,11,32960,8682,41642,72.475,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_027/metadata.json,0,3,0,0,,,
moderate_baseline_20260525_120520_028,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_028,completed,20260526_002942,2026-05-26T00:31:18+0200,3,9,2,4,0,13,37298,11796,49094,96.2957,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_028/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_029,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_029,completed,20260526_003122,2026-05-26T00:33:15+0200,4,12,2,4,0,16,47628,13670,61298,113.2836,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_029/metadata.json,0,0,3,0,,,
moderate_baseline_20260525_120520_030,moderate,moderate,full_history,False,not_applicable,0,baseline,False,transparency_experiment,moderate_baseline_20260525_120520_030,completed,20260526_003318,2026-05-26T00:34:47+0200,3,9,2,4,0,13,36351,10870,47221,88.7594,Candidate C,consensus,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/moderate/moderate_baseline_20260525_120520_030/metadata.json,0,0,3,0,,,
moderate_treatment_20260525_120520_001,moderate,moderate,full_history,False,full_meeting,0,treatment,True,transparency_experiment,moderate_treatment_20260525_120520_001,completed,20260525_164711,2026-05-25T16:57:04+0200,3,9,7,14,26,23,202816,106508,309324,593.2721,Candidate C,consensus,Candidate C,1,0.949294,0.938747,0.958012,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/moderate/moderate_treatment_20260525_120520_001/metadata.json,0,0,3,0,0.951124,0.958012,0.938747
