run_id,task_file,label_version,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,team_process_score,team_process_communication,team_process_coordination,team_process_cooperation,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
low_treatment_20260711_111242_011,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_011,completed,20260711_123430,2026-07-11T12:46:21+0200,5,15,11,22,45,37,253107,155449,408556,,710.3886,Candidate A,consensus,Candidate A,1,,,,,,,,0.491667,0.375,0.6,0.5,01_data/raw/simulations/low/low_treatment_20260711_111242_011/metadata.json,3,0,0,0
low_treatment_20260711_111242_012,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_012,completed,20260711_124624,2026-07-11T12:50:50+0200,2,6,6,12,17,18,98198,58661,156859,,266.2942,Candidate B,consensus,Candidate A,0,,,,,,,,0.4,0.166667,0.833333,0.2,01_data/raw/simulations/low/low_treatment_20260711_111242_012/metadata.json,0,3,0,0
low_treatment_20260711_111242_013,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_013,completed,20260711_125053,2026-07-11T13:02:37+0200,5,15,11,22,45,37,253690,156881,410571,,703.2311,Candidate A,consensus,Candidate A,1,,,,,,,,0.364683,0.208333,0.6,0.285714,01_data/raw/simulations/low/low_treatment_20260711_111242_013/metadata.json,3,0,0,0
low_treatment_20260711_111242_014,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_014,completed,20260711_130240,2026-07-11T13:09:44+0200,3,9,7,14,26,23,138527,94961,233488,,424.2107,Candidate A,consensus,Candidate A,1,,,,,,,,0.583333,0.333333,0.666667,0.75,01_data/raw/simulations/low/low_treatment_20260711_111242_014/metadata.json,3,0,0,0
low_treatment_20260711_111242_015,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_015,completed,20260711_130947,2026-07-11T13:14:51+0200,2,6,7,14,18,20,108947,65273,174220,,304.2836,Candidate A,consensus,Candidate A,1,,,,,,,,0.291667,0.208333,0.666667,0.0,01_data/raw/simulations/low/low_treatment_20260711_111242_015/metadata.json,3,0,0,0
low_treatment_20260711_111242_016,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_016,completed,20260711_131454,2026-07-11T13:19:37+0200,2,6,4,8,16,14,91387,60645,152032,,282.7691,Candidate C,consensus,Candidate A,0,,,,,,,,0.425,0.208333,0.666667,0.4,01_data/raw/simulations/low/low_treatment_20260711_111242_016/metadata.json,0,0,3,0
low_treatment_20260711_111242_017,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_017,completed,20260711_131940,2026-07-11T13:30:56+0200,5,15,11,22,45,37,242900,150022,392922,,675.2897,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.48373,0.208333,0.6,0.642857,01_data/raw/simulations/low/low_treatment_20260711_111242_017/metadata.json,2,1,0,0
low_treatment_20260711_111242_018,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_018,completed,20260711_133059,2026-07-11T13:41:11+0200,5,15,9,18,45,33,232678,134156,366834,,612.3567,Candidate B,max_round_majority_vote,Candidate A,0,,,,,,,,0.369444,0.208333,0.4,0.5,01_data/raw/simulations/low/low_treatment_20260711_111242_018/metadata.json,1,2,0,0
low_treatment_20260711_111242_019,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_019,completed,20260711_134114,2026-07-11T13:52:10+0200,5,15,11,22,44,37,241434,145151,386585,,655.2418,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.401587,0.166667,0.466667,0.571429,01_data/raw/simulations/low/low_treatment_20260711_111242_019/metadata.json,2,1,0,0
low_treatment_20260711_111242_020,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_020,completed,20260711_135213,2026-07-11T14:02:51+0200,5,15,10,20,44,35,238024,143681,381705,,638.3029,Candidate A,consensus,Candidate A,1,,,,,,,,0.370635,0.083333,0.6,0.428571,01_data/raw/simulations/low/low_treatment_20260711_111242_020/metadata.json,3,0,0,0
low_treatment_20260711_111242_021,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_021,completed,20260711_140254,2026-07-11T14:09:59+0200,3,9,8,16,26,25,150161,95470,245631,,424.6966,Candidate A,consensus,Candidate A,1,,,,,,,,0.347222,0.125,0.666667,0.25,01_data/raw/simulations/low/low_treatment_20260711_111242_021/metadata.json,3,0,0,0
low_treatment_20260711_111242_022,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_022,completed,20260711_141002,2026-07-11T14:20:00+0200,4,12,10,20,34,32,207113,130083,337196,,597.6639,Candidate A,consensus,Candidate A,1,,,,,,,,0.47096,0.291667,0.666667,0.454545,01_data/raw/simulations/low/low_treatment_20260711_111242_022/metadata.json,3,0,0,0
low_treatment_20260711_111242_023,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_023,completed,20260711_142003,2026-07-11T14:32:06+0200,5,15,14,28,44,43,275615,162235,437850,,722.9685,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.571032,0.208333,0.933333,0.571429,01_data/raw/simulations/low/low_treatment_20260711_111242_023/metadata.json,2,1,0,0
low_treatment_20260711_111242_024,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_024,completed,20260711_143209,2026-07-11T14:42:58+0200,5,15,8,16,45,31,232732,145519,378251,,649.5075,Candidate B,max_round_majority_vote,Candidate A,0,,,,,,,,0.221429,0.25,0.2,0.214286,01_data/raw/simulations/low/low_treatment_20260711_111242_024/metadata.json,1,2,0,0
low_treatment_20260711_111242_025,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_025,completed,20260711_144302,2026-07-11T14:49:37+0200,3,9,6,12,26,21,133896,89165,223061,,395.7678,Candidate B,consensus,Candidate A,0,,,,,,,,0.453704,0.166667,0.444444,0.75,01_data/raw/simulations/low/low_treatment_20260711_111242_025/metadata.json,0,3,0,0
low_treatment_20260711_111242_026,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_026,completed,20260711_144940,2026-07-11T15:00:34+0200,5,15,11,22,44,37,238820,144546,383366,,653.7092,Candidate A,consensus,Candidate A,1,,,,,,,,0.501587,0.333333,0.6,0.571429,01_data/raw/simulations/low/low_treatment_20260711_111242_026/metadata.json,3,0,0,0
low_treatment_20260711_111242_027,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_027,completed,20260711_150037,2026-07-11T15:11:59+0200,5,15,14,28,44,43,270303,148696,418999,,682.3511,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.586508,0.25,0.866667,0.642857,01_data/raw/simulations/low/low_treatment_20260711_111242_027/metadata.json,2,1,0,0
low_treatment_20260711_111242_028,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_028,completed,20260711_151203,2026-07-11T15:23:18+0200,5,15,11,22,44,37,240851,150274,391125,,675.0566,Candidate A,consensus,Candidate A,1,,,,,,,,0.42619,0.25,0.6,0.428571,01_data/raw/simulations/low/low_treatment_20260711_111242_028/metadata.json,3,0,0,0
low_treatment_20260711_111242_029,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_029,completed,20260711_152321,2026-07-11T15:30:28+0200,3,9,8,16,26,25,153632,94656,248288,,427.2593,Candidate A,consensus,Candidate A,1,,,,,,,,0.291667,0.291667,0.333333,0.25,01_data/raw/simulations/low/low_treatment_20260711_111242_029/metadata.json,3,0,0,0
low_treatment_20260711_111242_030,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_030,completed,20260711_153031,2026-07-11T15:45:01+0200,2,6,5,10,18,16,93752,63443,157195,,869.9624,Candidate A,consensus,Candidate A,1,,,,,,,,0.408333,0.125,0.5,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_030/metadata.json,3,0,0,0
low_treatment_20260711_111242_031,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_031,completed,20260711_154504,2026-07-11T15:52:42+0200,3,9,5,10,26,19,142512,102835,245347,,458.1624,Candidate A,consensus,Candidate A,1,,,,,,,,0.425926,0.208333,0.444444,0.625,01_data/raw/simulations/low/low_treatment_20260711_111242_031/metadata.json,3,0,0,0
low_treatment_20260711_111242_032,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_032,completed,20260711_155245,2026-07-11T15:59:45+0200,3,9,10,20,27,29,170635,91936,262571,,420.0516,Candidate A,consensus,Candidate A,1,,,,,,,,0.555556,0.375,0.666667,0.625,01_data/raw/simulations/low/low_treatment_20260711_111242_032/metadata.json,3,0,0,0
low_treatment_20260711_111242_033,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_033,completed,20260711_155948,2026-07-11T16:04:41+0200,2,6,10,20,18,26,122845,64674,187519,,292.4021,Candidate A,consensus,Candidate A,1,,,,,,,,0.466667,0.166667,0.833333,0.4,01_data/raw/simulations/low/low_treatment_20260711_111242_033/metadata.json,3,0,0,0
low_treatment_20260711_111242_034,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_034,completed,20260711_160444,2026-07-11T16:09:58+0200,2,6,6,12,17,18,103815,65976,169791,,313.7966,Candidate A,consensus,Candidate A,1,,,,,,,,0.341667,0.125,0.5,0.4,01_data/raw/simulations/low/low_treatment_20260711_111242_034/metadata.json,3,0,0,0
low_treatment_20260711_111242_035,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_035,completed,20260711_161001,2026-07-11T16:21:16+0200,5,15,12,24,44,39,256100,150284,406384,,674.7487,Candidate B,consensus,Candidate A,0,,,,,,,,0.46627,0.375,0.666667,0.357143,01_data/raw/simulations/low/low_treatment_20260711_111242_035/metadata.json,0,3,0,0
low_treatment_20260711_111242_036,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_036,completed,20260711_162119,2026-07-11T16:32:26+0200,5,15,12,24,45,39,241075,149732,390807,,666.9489,Candidate B,max_round_majority_vote,Candidate A,0,,,,,,,,0.438492,0.291667,0.666667,0.357143,01_data/raw/simulations/low/low_treatment_20260711_111242_036/metadata.json,0,2,1,0
low_treatment_20260711_111242_037,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_037,completed,20260711_163228,2026-07-11T16:39:22+0200,3,9,8,16,27,25,152131,90616,242747,,413.691,Candidate A,consensus,Candidate A,1,,,,,,,,0.365741,0.166667,0.555556,0.375,01_data/raw/simulations/low/low_treatment_20260711_111242_037/metadata.json,3,0,0,0
low_treatment_20260711_111242_038,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_038,completed,20260711_163925,2026-07-11T16:43:39+0200,2,6,6,12,18,18,97811,56247,154058,,253.9562,Candidate A,consensus,Candidate A,1,,,,,,,,0.491667,0.208333,0.666667,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_038/metadata.json,3,0,0,0
low_treatment_20260711_111242_039,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_039,completed,20260711_164342,2026-07-11T16:52:42+0200,4,12,8,16,36,28,184342,118801,303143,,540.0823,Candidate A,consensus,Candidate A,1,,,,,,,,0.415404,0.291667,0.5,0.454545,01_data/raw/simulations/low/low_treatment_20260711_111242_039/metadata.json,3,0,0,0
low_treatment_20260711_111242_040,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_040,completed,20260711_165245,2026-07-11T17:03:19+0200,5,15,10,20,44,35,230036,139770,369806,,633.9018,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.367857,0.208333,0.466667,0.428571,01_data/raw/simulations/low/low_treatment_20260711_111242_040/metadata.json,2,1,0,0
low_treatment_20260711_111242_041,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_041,completed,20260711_170322,2026-07-11T17:15:14+0200,5,15,12,24,42,39,271357,156143,427500,,711.6828,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.504365,0.208333,0.733333,0.571429,01_data/raw/simulations/low/low_treatment_20260711_111242_041/metadata.json,2,1,0,0
low_treatment_20260711_111242_042,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_042,completed,20260711_171517,2026-07-11T17:19:59+0200,2,6,9,18,17,24,124445,61465,185910,,281.7816,Candidate A,consensus,Candidate A,1,,,,,,,,0.616667,0.25,1.0,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_042/metadata.json,3,0,0,0
low_treatment_20260711_111242_043,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_043,completed,20260711_172002,2026-07-11T17:31:00+0200,5,15,11,22,45,37,239735,148797,388532,,658.458,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.547619,0.333333,0.666667,0.642857,01_data/raw/simulations/low/low_treatment_20260711_111242_043/metadata.json,2,1,0,0
low_treatment_20260711_111242_044,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_044,completed,20260711_173103,2026-07-11T17:35:32+0200,2,6,6,12,18,18,100265,57532,157797,,268.1046,Candidate A,consensus,Candidate A,1,,,,,,,,0.330556,0.291667,0.5,0.2,01_data/raw/simulations/low/low_treatment_20260711_111242_044/metadata.json,3,0,0,0
low_treatment_20260711_111242_045,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_045,completed,20260711_173535,2026-07-11T17:47:48+0200,5,15,13,26,44,41,255855,163882,419737,,732.9536,,max_round_no_majority,Candidate A,0,,,,,,,,0.469048,0.25,0.8,0.357143,01_data/raw/simulations/low/low_treatment_20260711_111242_045/metadata.json,1,1,1,0
low_treatment_20260711_111242_046,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_046,completed,20260711_174751,2026-07-11T17:59:04+0200,5,15,13,26,45,41,257183,150362,407545,,673.6197,,max_round_no_majority,Candidate A,0,,,,,,,,0.496032,0.25,0.666667,0.571429,01_data/raw/simulations/low/low_treatment_20260711_111242_046/metadata.json,0,1,1,1
low_treatment_20260711_111242_047,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_047,completed,20260711_175907,2026-07-11T18:18:27+0200,4,12,9,18,35,30,196020,126910,322930,,1159.5705,Candidate A,consensus,Candidate A,1,,,,,,,,0.578283,0.333333,0.583333,0.818182,01_data/raw/simulations/low/low_treatment_20260711_111242_047/metadata.json,3,0,0,0
low_treatment_20260711_111242_048,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_048,completed,20260711_181830,2026-07-11T18:22:33+0200,2,6,3,6,18,12,81649,52003,133652,,243.252,Candidate B,consensus,Candidate A,0,,,,,,,,0.472222,0.083333,0.333333,1.0,01_data/raw/simulations/low/low_treatment_20260711_111242_048/metadata.json,0,3,0,0
low_treatment_20260711_111242_049,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_049,completed,20260711_182237,2026-07-11T18:27:11+0200,2,6,5,10,18,16,91531,59577,151108,,274.581,Candidate A,consensus,Candidate A,1,,,,,,,,0.330556,0.291667,0.5,0.2,01_data/raw/simulations/low/low_treatment_20260711_111242_049/metadata.json,3,0,0,0
low_treatment_20260711_111242_050,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_050,completed,20260711_182714,2026-07-11T18:38:33+0200,5,15,17,34,45,49,293360,147362,440722,,679.0549,Candidate C,max_round_majority_vote,Candidate A,0,,,,,,,,0.399206,0.25,0.733333,0.214286,01_data/raw/simulations/low/low_treatment_20260711_111242_050/metadata.json,0,1,2,0
low_treatment_20260711_111242_051,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_051,completed,20260711_183836,2026-07-11T18:49:55+0200,5,15,11,22,45,37,257864,149550,407414,,678.3424,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.384127,0.333333,0.533333,0.285714,01_data/raw/simulations/low/low_treatment_20260711_111242_051/metadata.json,2,1,0,0
low_treatment_20260711_111242_052,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_052,completed,20260711_184958,2026-07-11T19:01:27+0200,5,15,12,24,43,39,253090,151939,405029,,688.8415,Candidate A,consensus,Candidate A,1,,,,,,,,0.436111,0.208333,0.6,0.5,01_data/raw/simulations/low/low_treatment_20260711_111242_052/metadata.json,3,0,0,0
low_treatment_20260711_111242_053,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_053,completed,20260711_190130,2026-07-11T19:06:45+0200,2,6,5,10,18,16,96099,67794,163893,,315.1207,Candidate B,consensus,Candidate A,0,,,,,,,,0.3,0.166667,0.333333,0.4,01_data/raw/simulations/low/low_treatment_20260711_111242_053/metadata.json,0,3,0,0
low_treatment_20260711_111242_054,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_054,completed,20260711_190648,2026-07-11T19:13:07+0200,3,9,5,10,26,19,134282,85159,219441,,379.4341,Candidate B,consensus,Candidate A,0,,,,,,,,0.236111,0.125,0.333333,0.25,01_data/raw/simulations/low/low_treatment_20260711_111242_054/metadata.json,0,3,0,0
low_treatment_20260711_111242_055,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_055,completed,20260711_191311,2026-07-11T19:18:08+0200,2,6,6,12,17,18,102169,64478,166647,,297.4057,Candidate B,consensus,Candidate A,0,,,,,,,,0.408333,0.125,0.5,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_055/metadata.json,0,3,0,0
low_treatment_20260711_111242_056,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_056,completed,20260711_191811,2026-07-11T19:30:30+0200,5,15,14,28,44,43,262531,158328,420859,,738.5091,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.528968,0.291667,0.866667,0.428571,01_data/raw/simulations/low/low_treatment_20260711_111242_056/metadata.json,2,1,0,0
low_treatment_20260711_111242_057,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_057,completed,20260711_193033,2026-07-11T19:37:53+0200,3,9,8,16,27,25,152658,96792,249450,,440.47,Candidate D,consensus,Candidate A,0,,,,,,,,0.601852,0.291667,0.888889,0.625,01_data/raw/simulations/low/low_treatment_20260711_111242_057/metadata.json,0,0,0,3
low_treatment_20260711_111242_058,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_058,completed,20260711_193756,2026-07-11T19:49:05+0200,5,15,12,24,45,39,246591,148927,395518,,668.8341,,max_round_no_majority,Candidate A,0,,,,,,,,0.435714,0.416667,0.533333,0.357143,01_data/raw/simulations/low/low_treatment_20260711_111242_058/metadata.json,1,1,1,0
low_treatment_20260711_111242_059,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_059,completed,20260711_194908,2026-07-11T19:59:13+0200,4,12,12,24,35,36,223367,131254,354621,,604.6303,Candidate A,consensus,Candidate A,1,,,,,,,,0.457071,0.416667,0.5,0.454545,01_data/raw/simulations/low/low_treatment_20260711_111242_059/metadata.json,3,0,0,0
low_treatment_20260711_111242_060,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_060,completed,20260711_195916,2026-07-11T20:11:21+0200,5,15,15,30,44,45,280847,159340,440187,,724.7168,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.551587,0.416667,0.666667,0.571429,01_data/raw/simulations/low/low_treatment_20260711_111242_060/metadata.json,2,1,0,0
low_treatment_20260711_111242_061,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_061,completed,20260711_201124,2026-07-11T20:15:42+0200,2,6,2,4,18,10,78544,57599,136143,,258.3488,Candidate A,consensus,Candidate A,1,,,,,,,,0.486111,0.125,0.333333,1.0,01_data/raw/simulations/low/low_treatment_20260711_111242_061/metadata.json,3,0,0,0
low_treatment_20260711_111242_062,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_062,completed,20260711_201545,2026-07-11T20:26:14+0200,4,11,9,18,36,29,207211,140453,347664,,628.4656,Candidate A,consensus,Candidate A,1,,,,,,,,0.553788,0.125,0.636364,0.9,01_data/raw/simulations/low/low_treatment_20260711_111242_062/metadata.json,3,0,0,0
low_treatment_20260711_111242_063,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_063,completed,20260711_202617,2026-07-11T20:31:16+0200,2,6,7,14,18,20,106764,64852,171616,,299.4784,Candidate B,consensus,Candidate A,0,,,,,,,,0.394444,0.083333,0.5,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_063/metadata.json,0,3,0,0
low_treatment_20260711_111242_064,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_064,completed,20260711_203119,2026-07-11T20:35:15+0200,2,6,3,6,18,12,79614,52150,131764,,235.4592,Candidate A,consensus,Candidate A,1,,,,,,,,0.352778,0.125,0.333333,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_064/metadata.json,3,0,0,0
low_treatment_20260711_111242_065,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_065,completed,20260711_203518,2026-07-11T20:39:40+0200,2,6,4,8,18,14,87723,59330,147053,,262.3338,Candidate A,consensus,Candidate A,1,,,,,,,,0.516667,0.25,0.5,0.8,01_data/raw/simulations/low/low_treatment_20260711_111242_065/metadata.json,3,0,0,0
low_treatment_20260711_111242_066,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_066,completed,20260711_203943,2026-07-11T20:51:04+0200,5,15,11,22,45,37,249406,148032,397438,,681.3174,,max_round_no_majority,Candidate A,0,,,,,,,,0.504365,0.208333,0.733333,0.571429,01_data/raw/simulations/low/low_treatment_20260711_111242_066/metadata.json,1,1,0,1
low_treatment_20260711_111242_067,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_067,completed,20260711_205107,2026-07-11T21:02:58+0200,5,15,13,26,45,41,253420,158755,412175,,710.6067,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.384127,0.333333,0.533333,0.285714,01_data/raw/simulations/low/low_treatment_20260711_111242_067/metadata.json,2,1,0,0
low_treatment_20260711_111242_068,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_068,completed,20260711_210301,2026-07-11T21:07:15+0200,2,6,4,8,18,14,86991,57224,144215,,253.9099,Candidate A,consensus,Candidate A,1,,,,,,,,0.505556,0.25,0.666667,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_068/metadata.json,3,0,0,0
low_treatment_20260711_111242_069,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_069,completed,20260711_210718,2026-07-11T21:15:43+0200,4,12,9,18,35,30,197062,109642,306704,,504.4901,Candidate A,consensus,Candidate A,1,,,,,,,,0.526515,0.375,0.75,0.454545,01_data/raw/simulations/low/low_treatment_20260711_111242_069/metadata.json,3,0,0,0
low_treatment_20260711_111242_070,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_070,completed,20260711_211545,2026-07-11T21:19:56+0200,2,6,5,10,18,16,97680,55595,153275,,250.7388,Candidate A,consensus,Candidate A,1,,,,,,,,0.366667,0.166667,0.333333,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_070/metadata.json,3,0,0,0
