run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260530_091120_015,low,treatment,low_treatment_20260530_091120_015,completed,20260530_105704,2026-05-30T11:06:32+0200,5,15,16,32,45,47,205220,102762,307982,568.4789,Candidate B,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_015/metadata.json,0,2,1,0,,,
low_treatment_20260530_091120_016,low,treatment,low_treatment_20260530_091120_016,completed,20260530_110636,2026-05-30T11:15:13+0200,5,15,11,22,43,37,189664,95425,285089,516.9437,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_016/metadata.json,1,0,1,1,,,
low_treatment_20260530_091120_017,low,treatment,low_treatment_20260530_091120_017,completed,20260530_111516,2026-05-30T11:21:34+0200,4,12,4,8,36,20,127995,70715,198710,378.5618,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_017/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_018,low,treatment,low_treatment_20260530_091120_018,completed,20260530_112138,2026-05-30T11:29:50+0200,5,15,10,20,45,35,179500,90849,270349,492.8031,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_018/metadata.json,0,0,2,1,,,
low_treatment_20260530_091120_019,low,treatment,low_treatment_20260530_091120_019,completed,20260530_112953,2026-05-30T11:35:26+0200,3,9,9,18,27,27,122500,60815,183315,332.9518,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_019/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_020,low,treatment,low_treatment_20260530_091120_020,completed,20260530_113530,2026-05-30T11:43:18+0200,5,15,8,16,45,31,170422,88775,259197,467.7777,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_020/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_021,low,treatment,low_treatment_20260530_091120_021,completed,20260530_114321,2026-05-30T11:50:35+0200,4,12,7,14,36,26,140017,80696,220713,434.0697,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_021/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_022,low,treatment,low_treatment_20260530_091120_022,completed,20260530_115038,2026-05-30T11:58:57+0200,5,15,9,18,45,33,179200,93846,273046,498.6356,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_022/metadata.json,1,1,1,0,,,
low_treatment_20260530_091120_023,low,treatment,low_treatment_20260530_091120_023,completed,20260530_115900,2026-05-30T12:07:29+0200,5,15,10,20,45,35,177447,93311,270758,508.9943,Candidate D,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_023/metadata.json,0,0,1,2,,,
low_treatment_20260530_091120_024,low,treatment,low_treatment_20260530_091120_024,completed,20260530_120732,2026-05-30T12:14:26+0200,4,12,11,22,36,34,161506,75691,237197,413.9498,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_024/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_025,low,treatment,low_treatment_20260530_091120_025,completed,20260530_121430,2026-05-30T12:22:45+0200,5,15,5,10,45,25,162450,95336,257786,495.6845,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_025/metadata.json,1,0,1,1,,,
low_treatment_20260530_091120_026,low,treatment,low_treatment_20260530_091120_026,completed,20260530_122248,2026-05-30T12:30:49+0200,5,15,10,20,45,35,178240,90853,269093,480.2877,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_026/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_027,low,treatment,low_treatment_20260530_091120_027,completed,20260530_123052,2026-05-30T12:39:49+0200,5,15,15,30,45,45,197744,99659,297403,536.5528,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_027/metadata.json,0,0,2,1,,,
low_treatment_20260530_091120_028,low,treatment,low_treatment_20260530_091120_028,completed,20260530_123952,2026-05-30T12:48:40+0200,5,15,15,30,44,45,203786,96619,300405,528.1146,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_028/metadata.json,0,0,2,1,,,
low_treatment_20260530_091120_029,low,treatment,low_treatment_20260530_091120_029,completed,20260530_124843,2026-05-30T12:57:22+0200,5,15,12,24,45,39,190592,94904,285496,518.4666,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_029/metadata.json,1,1,1,0,,,
low_treatment_20260530_091120_030,low,treatment,low_treatment_20260530_091120_030,completed,20260530_125725,2026-05-30T13:02:48+0200,3,9,8,16,27,25,115543,58621,174164,323.4289,Candidate B,consensus,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_030/metadata.json,0,3,0,0,,,
low_treatment_20260530_091120_031,low,treatment,low_treatment_20260530_091120_031,completed,20260530_130251,2026-05-30T13:11:45+0200,5,15,11,22,45,37,193397,99208,292605,533.3047,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_031/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_032,low,treatment,low_treatment_20260530_091120_032,completed,20260530_131148,2026-05-30T13:20:12+0200,5,15,8,16,45,31,174217,95888,270105,504.1575,Candidate B,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_032/metadata.json,0,2,1,0,,,
low_treatment_20260530_091120_033,low,treatment,low_treatment_20260530_091120_033,completed,20260530_132015,2026-05-30T13:28:30+0200,5,15,7,14,45,29,166792,94203,260995,495.0744,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_033/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_034,low,treatment,low_treatment_20260530_091120_034,completed,20260530_132834,2026-05-30T13:36:51+0200,5,15,9,18,45,33,170612,92608,263220,497.2056,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_034/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_035,low,treatment,low_treatment_20260530_091120_035,completed,20260530_133654,2026-05-30T13:46:23+0200,5,15,15,30,45,45,199120,103717,302837,568.9696,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_035/metadata.json,1,0,2,0,,,
low_treatment_20260530_091120_036,low,treatment,low_treatment_20260530_091120_036,completed,20260530_134626,2026-05-30T13:50:57+0200,3,9,5,10,27,19,101598,50481,152079,271.1008,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_036/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_037,low,treatment,low_treatment_20260530_091120_037,completed,20260530_135101,2026-05-30T13:58:35+0200,5,15,2,4,45,19,153825,88302,242127,454.4811,Candidate D,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_037/metadata.json,0,1,0,2,,,
low_treatment_20260530_091120_038,low,treatment,low_treatment_20260530_091120_038,completed,20260530_135838,2026-05-30T14:07:08+0200,5,15,10,20,45,35,180349,95526,275875,509.8518,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_038/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_039,low,treatment,low_treatment_20260530_091120_039,completed,20260530_140712,2026-05-30T14:10:36+0200,2,6,4,8,18,14,69731,37259,106990,204.294,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_039/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_040,low,treatment,low_treatment_20260530_091120_040,completed,20260530_141039,2026-05-30T14:18:35+0200,4,12,12,24,35,36,160493,87257,247750,475.7824,Candidate D,consensus,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_040/metadata.json,0,0,0,3,,,
low_treatment_20260530_091120_041,low,treatment,low_treatment_20260530_091120_041,completed,20260530_141838,2026-05-30T14:21:47+0200,2,6,3,6,18,12,66158,35579,101737,188.8629,Candidate B,consensus,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_041/metadata.json,0,3,0,0,,,
low_treatment_20260530_091120_042,low,treatment,low_treatment_20260530_091120_042,completed,20260530_142150,2026-05-30T14:29:57+0200,5,15,7,14,45,29,165723,92219,257942,487.0817,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_042/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_043,low,treatment,low_treatment_20260530_091120_043,completed,20260530_143001,2026-05-30T14:38:15+0200,5,15,8,16,45,31,177975,92661,270636,494.489,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_043/metadata.json,1,1,1,0,,,
low_treatment_20260530_091120_044,low,treatment,low_treatment_20260530_091120_044,completed,20260530_143819,2026-05-30T14:46:24+0200,5,15,6,12,45,27,163441,91096,254537,485.0486,Candidate A,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_044/metadata.json,2,0,1,0,,,
low_treatment_20260530_091120_045,low,treatment,low_treatment_20260530_091120_045,completed,20260530_144627,2026-05-30T14:54:33+0200,5,15,10,20,45,35,180694,88749,269443,486.004,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_045/metadata.json,0,0,2,1,,,
low_treatment_20260530_091120_046,low,treatment,low_treatment_20260530_091120_046,completed,20260530_145436,2026-05-30T15:03:55+0200,5,15,13,26,45,41,197038,102413,299451,558.6346,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_046/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_047,low,treatment,low_treatment_20260530_091120_047,completed,20260530_150358,2026-05-30T15:14:07+0200,5,15,18,36,45,51,220898,110686,331584,608.6502,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_047/metadata.json,0,1,1,1,,,
low_treatment_20260530_091120_048,low,treatment,low_treatment_20260530_091120_048,completed,20260530_151410,2026-05-30T15:22:56+0200,5,15,10,20,45,35,188268,99611,287879,525.8395,Candidate B,consensus,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_048/metadata.json,0,3,0,0,,,
low_treatment_20260530_091120_049,low,treatment,low_treatment_20260530_091120_049,completed,20260530_152259,2026-05-30T15:26:44+0200,2,6,5,10,18,16,75322,40636,115958,224.9214,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_049/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_050,low,treatment,low_treatment_20260530_091120_050,completed,20260530_152647,2026-05-30T15:36:04+0200,5,15,13,26,45,41,196786,102533,299319,556.2651,Candidate B,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_050/metadata.json,0,2,1,0,,,
low_treatment_20260530_091120_051,low,treatment,low_treatment_20260530_091120_051,completed,20260530_153607,2026-05-30T15:41:56+0200,3,9,9,18,27,27,126031,65066,191097,348.7586,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_051/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_052,low,treatment,low_treatment_20260530_091120_052,completed,20260530_154159,2026-05-30T15:45:30+0200,2,6,7,14,18,20,82157,39154,121311,211.1942,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_052/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_053,low,treatment,low_treatment_20260530_091120_053,completed,20260530_154533,2026-05-30T15:53:49+0200,5,14,6,12,45,26,162183,93827,256010,496.1348,Candidate B,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_053/metadata.json,0,2,1,0,,,
low_treatment_20260530_091120_054,low,treatment,low_treatment_20260530_091120_054,completed,20260530_155353,2026-05-30T16:13:30+0200,5,14,16,32,45,46,207157,106315,313472,1177.8421,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_054/metadata.json,1,1,0,0,,,
low_treatment_20260530_091120_055,low,treatment,low_treatment_20260530_091120_055,completed,20260530_161334,2026-05-30T16:20:33+0200,4,12,7,14,36,26,141580,78770,220350,419.4058,Candidate B,consensus,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_055/metadata.json,0,3,0,0,,,
low_treatment_20260530_091120_056,low,treatment,low_treatment_20260530_091120_056,completed,20260530_162036,2026-05-30T16:29:31+0200,5,15,12,24,45,39,189493,97333,286826,534.828,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_056/metadata.json,0,1,1,1,,,
low_treatment_20260530_091120_057,low,treatment,low_treatment_20260530_091120_057,completed,20260530_162934,2026-05-30T16:33:06+0200,2,6,4,8,18,14,73074,38355,111429,211.5492,Candidate B,consensus,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_057/metadata.json,0,3,0,0,,,
low_treatment_20260530_091120_058,low,treatment,low_treatment_20260530_091120_058,completed,20260530_163309,2026-05-30T16:42:11+0200,5,15,12,24,45,39,192141,102272,294413,542.0102,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_058/metadata.json,1,0,2,0,,,
low_treatment_20260530_091120_059,low,treatment,low_treatment_20260530_091120_059,completed,20260530_164214,2026-05-30T16:45:55+0200,2,6,6,12,18,18,78030,40588,118618,220.97,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_059/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_060,low,treatment,low_treatment_20260530_091120_060,completed,20260530_164559,2026-05-30T16:55:56+0200,5,15,15,30,45,45,205404,108461,313865,597.1304,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_060/metadata.json,0,1,1,1,,,
low_treatment_20260530_091120_061,low,treatment,low_treatment_20260530_091120_061,completed,20260530_165559,2026-05-30T17:03:46+0200,5,15,7,14,45,29,163231,87233,250464,466.578,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_061/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_062,low,treatment,low_treatment_20260530_091120_062,completed,20260530_170349,2026-05-30T17:07:23+0200,2,6,4,8,18,14,71120,40045,111165,214.0603,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_062/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_063,low,treatment,low_treatment_20260530_091120_063,completed,20260530_170726,2026-05-30T17:16:08+0200,5,15,6,12,45,27,162938,99259,262197,522.3391,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_063/metadata.json,0,1,1,1,,,
low_treatment_20260530_091120_064,low,treatment,low_treatment_20260530_091120_064,completed,20260530_171612,2026-05-30T17:24:22+0200,5,15,12,24,45,39,186111,90276,276387,490.4329,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_064/metadata.json,1,0,1,1,,,
low_treatment_20260530_091120_065,low,treatment,low_treatment_20260530_091120_065,completed,20260530_172425,2026-05-30T17:28:03+0200,2,6,5,10,18,16,73481,40445,113926,217.5845,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_065/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_066,low,treatment,low_treatment_20260530_091120_066,completed,20260530_172806,2026-05-30T17:36:26+0200,5,15,11,22,45,37,189832,93021,282853,500.1329,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_066/metadata.json,1,1,1,0,,,
low_treatment_20260530_091120_067,low,treatment,low_treatment_20260530_091120_067,completed,20260530_173629,2026-05-30T17:40:22+0200,2,6,8,16,18,22,88712,40597,129309,232.9618,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_067/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_068,low,treatment,low_treatment_20260530_091120_068,completed,20260530_174026,2026-05-30T17:48:52+0200,5,15,13,26,45,41,192752,94357,287109,506.0488,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_068/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_069,low,treatment,low_treatment_20260530_091120_069,completed,20260530_174855,2026-05-30T17:57:53+0200,5,15,13,26,45,41,192486,98835,291321,537.9464,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_069/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_070,low,treatment,low_treatment_20260530_091120_070,completed,20260530_175756,2026-05-30T18:07:09+0200,5,15,16,32,45,47,207828,100683,308511,552.4875,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_070/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_071,low,treatment,low_treatment_20260530_091120_071,completed,20260530_180712,2026-05-30T18:16:07+0200,5,15,11,22,45,37,179577,100095,279672,534.8513,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_071/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_072,low,treatment,low_treatment_20260530_091120_072,completed,20260530_181610,2026-05-30T18:25:03+0200,5,15,13,26,45,41,197411,98455,295866,532.6505,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_072/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_073,low,treatment,low_treatment_20260530_091120_073,completed,20260530_182506,2026-05-30T18:31:37+0200,4,12,11,22,36,34,158502,72794,231296,390.5606,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_073/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_074,low,treatment,low_treatment_20260530_091120_074,completed,20260530_183140,2026-05-30T18:36:05+0200,3,9,2,4,27,13,88992,51162,140154,264.6615,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_074/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_075,low,treatment,low_treatment_20260530_091120_075,completed,20260530_183608,2026-05-30T18:55:18+0200,5,15,6,12,45,27,171083,99789,270872,1150.6923,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_075/metadata.json,1,1,0,1,,,
low_treatment_20260530_091120_076,low,treatment,low_treatment_20260530_091120_076,completed,20260530_185522,2026-05-30T18:58:42+0200,2,6,2,4,18,10,63076,36762,99838,200.1299,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_076/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_077,low,treatment,low_treatment_20260530_091120_077,completed,20260530_185845,2026-05-30T19:02:13+0200,2,6,5,10,18,16,75739,38222,113961,207.7372,Candidate B,consensus,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_077/metadata.json,0,3,0,0,,,
low_treatment_20260530_091120_078,low,treatment,low_treatment_20260530_091120_078,completed,20260530_190216,2026-05-30T19:10:56+0200,5,15,11,22,45,37,179170,96153,275323,519.87,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_078/metadata.json,1,1,1,0,,,
low_treatment_20260530_091120_079,low,treatment,low_treatment_20260530_091120_079,completed,20260530_191059,2026-05-30T19:14:07+0200,2,6,3,6,18,12,66633,35156,101789,187.8025,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_079/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_080,low,treatment,low_treatment_20260530_091120_080,completed,20260530_191410,2026-05-30T19:21:52+0200,5,15,5,10,45,25,159955,86447,246402,462.0978,Candidate B,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_080/metadata.json,0,2,1,0,,,
low_treatment_20260530_091120_081,low,treatment,low_treatment_20260530_091120_081,completed,20260530_192156,2026-05-30T19:30:12+0200,5,15,10,20,45,35,177264,92864,270128,495.9122,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_081/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_082,low,treatment,low_treatment_20260530_091120_082,completed,20260530_193015,2026-05-30T19:38:07+0200,5,15,3,6,45,21,148996,88567,237563,472.6446,Candidate B,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_082/metadata.json,0,2,1,0,,,
low_treatment_20260530_091120_083,low,treatment,low_treatment_20260530_091120_083,completed,20260530_193811,2026-05-30T19:45:47+0200,4,11,15,30,36,41,183501,81646,265147,456.4691,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_083/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_084,low,treatment,low_treatment_20260530_091120_084,completed,20260530_194550,2026-05-30T19:52:14+0200,4,11,8,16,36,27,144099,70540,214639,383.5697,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_084/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_085,low,treatment,low_treatment_20260530_091120_085,completed,20260530_195217,2026-05-30T20:00:59+0200,5,15,9,18,45,33,179557,97524,277081,522.1274,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_085/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_086,low,treatment,low_treatment_20260530_091120_086,completed,20260530_200102,2026-05-30T20:09:32+0200,5,15,11,22,45,37,182900,95715,278615,509.9043,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_086/metadata.json,1,0,1,1,,,
