run_id,condition,smm_mode,explicit_smm_memory,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,mean_gold_standard_alignment,min_gold_standard_alignment,max_gold_standard_alignment,context_alignment,memory_similarity_method,gold_standard_alignment_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,gold_alignment_agent_1,gold_alignment_agent_2,gold_alignment_agent_3,gold_check_agent_1_a_risks,gold_check_agent_1_b_risks,gold_check_agent_1_c_attention,gold_check_agent_1_c_calmness,gold_check_agent_1_c_crew_fit,gold_check_agent_1_c_reliability,gold_check_agent_1_d_risks,gold_check_agent_1_favorite_is_c,gold_check_agent_2_a_risks,gold_check_agent_2_b_risks,gold_check_agent_2_c_attention,gold_check_agent_2_c_calmness,gold_check_agent_2_c_crew_fit,gold_check_agent_2_c_reliability,gold_check_agent_2_d_risks,gold_check_agent_2_favorite_is_c,gold_check_agent_3_a_risks,gold_check_agent_3_b_risks,gold_check_agent_3_c_attention,gold_check_agent_3_c_calmness,gold_check_agent_3_c_crew_fit,gold_check_agent_3_c_reliability,gold_check_agent_3_d_risks,gold_check_agent_3_favorite_is_c,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_baseline_20260508_195017_011,low,baseline,False,transparency_experiment,completed,20260509_013539,2026-05-09T01:37:11+0200,5,15,0,0,0,15,25185,11540,36725,92.7159,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_011/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_012,low,baseline,False,transparency_experiment,completed,20260509_013714,2026-05-09T01:38:31+0200,5,15,0,0,0,15,25201,9500,34701,77.2265,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_012/metadata.json,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_013,low,baseline,False,transparency_experiment,completed,20260509_013834,2026-05-09T01:39:45+0200,3,9,0,0,0,9,14032,6253,20285,70.3851,Candidate B,consensus,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_013/metadata.json,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_014,low,baseline,False,transparency_experiment,completed,20260509_013947,2026-05-09T01:41:21+0200,5,15,0,0,0,15,25114,11081,36195,93.5336,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_014/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_015,low,baseline,False,transparency_experiment,completed,20260509_014124,2026-05-09T01:43:09+0200,5,15,0,0,0,15,25273,11554,36827,105.0083,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_015/metadata.json,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_016,low,baseline,False,transparency_experiment,completed,20260509_014312,2026-05-09T01:44:48+0200,5,15,0,0,0,15,25102,11432,36534,96.0173,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_016/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_017,low,baseline,False,transparency_experiment,completed,20260509_014451,2026-05-09T01:46:18+0200,5,15,0,0,0,15,25147,10425,35572,86.8962,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_017/metadata.json,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_018,low,baseline,False,transparency_experiment,completed,20260509_014621,2026-05-09T01:47:52+0200,5,15,0,0,0,15,25189,10658,35847,90.3535,Candidate A,consensus,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_018/metadata.json,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_019,low,baseline,False,transparency_experiment,completed,20260509_014754,2026-05-09T01:49:22+0200,5,15,0,0,0,15,25211,11480,36691,87.8261,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_019/metadata.json,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_020,low,baseline,False,transparency_experiment,completed,20260509_014925,2026-05-09T01:50:33+0200,5,15,0,0,0,15,25127,8471,33598,67.9829,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_020/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_021,low,baseline,False,transparency_experiment,completed,20260509_015036,2026-05-09T01:52:21+0200,5,15,0,0,0,15,25146,11995,37141,104.9676,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_021/metadata.json,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_022,low,baseline,False,transparency_experiment,completed,20260509_015225,2026-05-09T01:55:09+0200,5,15,0,0,0,15,24809,21001,45810,163.9346,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_022/metadata.json,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_023,low,baseline,False,transparency_experiment,completed,20260509_015511,2026-05-09T01:55:42+0200,2,6,0,0,0,6,9019,3798,12817,30.2396,Candidate A,consensus,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_023/metadata.json,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_024,low,baseline,False,transparency_experiment,completed,20260509_015544,2026-05-09T01:57:26+0200,5,15,0,0,0,15,25137,12533,37670,101.0605,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_024/metadata.json,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_025,low,baseline,False,transparency_experiment,completed,20260509_015729,2026-05-09T01:59:01+0200,5,15,0,0,0,15,25362,10721,36083,92.3012,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_025/metadata.json,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_026,low,baseline,False,transparency_experiment,completed,20260509_015904,2026-05-09T02:00:34+0200,5,15,0,0,0,15,25080,10517,35597,89.7375,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_026/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_027,low,baseline,False,transparency_experiment,completed,20260509_020037,2026-05-09T02:02:22+0200,5,15,0,0,0,15,25049,11245,36294,104.73,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_027/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_028,low,baseline,False,transparency_experiment,completed,20260509_020225,2026-05-09T02:04:00+0200,5,15,0,0,0,15,25193,10663,35856,95.0031,Candidate C,max_round_majority_vote,Candidate C,1,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_028/metadata.json,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_029,low,baseline,False,transparency_experiment,completed,20260509_020403,2026-05-09T02:05:33+0200,5,15,0,0,0,15,25102,10394,35496,89.6269,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_029/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_030,low,baseline,False,transparency_experiment,completed,20260509_020536,2026-05-09T02:07:10+0200,5,15,0,0,0,15,25298,10214,35512,94.5221,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_030/metadata.json,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_treatment_20260508_195017_001,low,treatment,True,transparency_experiment,completed,20260508_195019,2026-05-08T20:51:25+0200,5,15,0,0,45,15,115134,51118,166252,3666.3245,,max_round_no_majority,Candidate C,0,0.78382,0.736773,0.826339,0.708333,0.5,0.875,0.555206,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_001/metadata.json,1,1,1,0,0.5,0.75,0.875,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0.736773,0.788347,0.826339
low_treatment_20260508_195017_002,low,treatment,True,transparency_experiment,completed,20260508_205128,2026-05-08T20:54:34+0200,5,15,0,0,45,15,107676,44961,152637,185.7791,Candidate A,max_round_majority_vote,Candidate C,0,0.792797,0.751126,0.872014,0.541667,0.0,0.875,0.429432,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_002/metadata.json,2,1,0,0,0.0,0.75,0.875,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0.751126,0.75525,0.872014
low_treatment_20260508_195017_003,low,treatment,True,transparency_experiment,completed,20260508_205437,2026-05-08T20:57:44+0200,5,15,0,0,45,15,112696,46469,159165,186.9306,,max_round_no_majority,Candidate C,0,0.783315,0.707888,0.885694,0.458333,0.375,0.625,0.359019,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_003/metadata.json,1,1,1,0,0.625,0.375,0.375,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0.707888,0.885694,0.756364
low_treatment_20260508_195017_004,low,treatment,True,transparency_experiment,completed,20260508_205747,2026-05-08T21:01:09+0200,5,15,0,0,45,15,113816,46600,160416,202.1104,,max_round_no_majority,Candidate C,0,0.902084,0.890817,0.911792,0.375,0.375,0.375,0.338282,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_004/metadata.json,1,1,1,0,0.375,0.375,0.375,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0.903642,0.911792,0.890817
low_treatment_20260508_195017_005,low,treatment,True,transparency_experiment,completed,20260508_210112,2026-05-08T21:02:48+0200,2,6,0,0,18,6,41895,20676,62571,95.166,Candidate A,consensus,Candidate C,0,0.933111,0.921797,0.943501,0.458333,0.0,0.75,0.427676,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_005/metadata.json,3,0,0,0,0.75,0.625,0.0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.934036,0.943501,0.921797
low_treatment_20260508_195017_006,low,treatment,True,transparency_experiment,completed,20260508_210251,2026-05-08T21:05:14+0200,3,9,0,0,27,9,67515,32237,99752,142.8964,Candidate C,consensus,Candidate C,1,0.776483,0.699087,0.82003,0.625,0.375,1.0,0.485302,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_006/metadata.json,0,0,3,0,0.5,0.375,1.0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.82003,0.810333,0.699087
low_treatment_20260508_195017_007,low,treatment,True,transparency_experiment,completed,20260508_210516,2026-05-08T21:08:31+0200,5,15,0,0,45,15,113928,48735,162663,195.0078,Candidate A,max_round_majority_vote,Candidate C,0,0.826614,0.791055,0.894542,0.333333,0.0,0.75,0.275538,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_007/metadata.json,2,1,0,0,0.75,0.0,0.25,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.791055,0.894542,0.794244
low_treatment_20260508_195017_008,low,treatment,True,transparency_experiment,completed,20260508_210835,2026-05-08T21:11:35+0200,5,15,0,0,45,15,116418,48090,164508,180.3968,Candidate A,max_round_majority_vote,Candidate C,0,0.813762,0.732599,0.938591,0.333333,0.125,0.625,0.271254,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_008/metadata.json,2,1,0,0,0.625,0.25,0.125,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.938591,0.732599,0.770095
low_treatment_20260508_195017_009,low,treatment,True,transparency_experiment,completed,20260508_211138,2026-05-08T21:14:40+0200,5,15,0,0,45,15,113146,48077,161223,182.0487,Candidate A,max_round_majority_vote,Candidate C,0,0.838402,0.786906,0.91673,0.333333,0.125,0.625,0.279467,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_009/metadata.json,2,1,0,0,0.125,0.625,0.25,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0.811571,0.91673,0.786906
low_treatment_20260508_195017_010,low,treatment,True,transparency_experiment,completed,20260508_211443,2026-05-08T21:17:52+0200,5,15,0,0,45,15,110212,44435,154647,189.0459,Candidate B,max_round_majority_vote,Candidate C,0,0.752211,0.667217,0.916588,0.5,0.375,0.625,0.376105,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_010/metadata.json,0,2,1,0,0.625,0.5,0.375,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0.667217,0.916588,0.672828
low_treatment_20260508_195017_011,low,treatment,True,transparency_experiment,completed,20260508_211755,2026-05-08T21:21:32+0200,5,15,0,0,45,15,113853,49135,162988,216.6847,Candidate A,max_round_majority_vote,Candidate C,0,0.814815,0.777111,0.870629,0.333333,0.0,0.875,0.271605,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_011/metadata.json,2,1,0,0,0.0,0.125,0.875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0.796704,0.777111,0.870629
low_treatment_20260508_195017_012,low,treatment,True,transparency_experiment,completed,20260508_212136,2026-05-08T21:23:03+0200,2,6,0,0,18,6,44515,22958,67473,87.4782,Candidate C,consensus,Candidate C,1,0.916607,0.897157,0.935243,0.625,0.625,0.625,0.572879,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_012/metadata.json,0,0,3,0,0.625,0.625,0.625,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0.935243,0.897157,0.917421
low_treatment_20260508_195017_013,low,treatment,True,transparency_experiment,completed,20260508_212307,2026-05-08T21:26:18+0200,5,15,0,0,45,15,108535,43556,152091,191.7279,Candidate B,max_round_majority_vote,Candidate C,0,0.821392,0.774576,0.891516,0.291667,0.0,0.75,0.239573,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_013/metadata.json,1,2,0,0,0.75,0.125,0.0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891516,0.798084,0.774576
low_treatment_20260508_195017_014,low,treatment,True,transparency_experiment,completed,20260508_212622,2026-05-08T21:29:48+0200,5,15,0,0,45,15,118898,52125,171023,206.6726,,max_round_no_majority,Candidate C,0,0.826544,0.783368,0.905552,0.625,0.375,1.0,0.51659,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_014/metadata.json,0,1,1,1,1.0,0.375,0.5,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0.905552,0.790711,0.783368
low_treatment_20260508_195017_015,low,treatment,True,transparency_experiment,completed,20260508_212951,2026-05-08T21:33:10+0200,5,15,0,0,45,15,114147,50997,165144,198.4485,Candidate A,max_round_majority_vote,Candidate C,0,0.793678,0.762446,0.822604,0.708333,0.5,0.875,0.562188,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_015/metadata.json,2,1,0,0,0.875,0.75,0.5,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0.822604,0.762446,0.795983
low_treatment_20260508_195017_016,low,treatment,True,transparency_experiment,completed,20260508_213312,2026-05-08T21:36:30+0200,5,15,0,0,45,15,116424,48357,164781,197.8451,,max_round_no_majority,Candidate C,0,0.807849,0.762559,0.869197,0.5,0.375,0.625,0.403925,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_016/metadata.json,0,1,1,1,0.625,0.375,0.5,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0.869197,0.791792,0.762559
low_treatment_20260508_195017_017,low,treatment,True,transparency_experiment,completed,20260508_213633,2026-05-08T21:38:20+0200,2,6,0,0,18,6,42682,20837,63519,106.8287,Candidate A,consensus,Candidate C,0,0.910972,0.890225,0.939626,0.125,0.125,0.125,0.113872,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_017/metadata.json,3,0,0,0,0.125,0.125,0.125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.939626,0.890225,0.903065
low_treatment_20260508_195017_018,low,treatment,True,transparency_experiment,completed,20260508_213823,2026-05-08T21:41:35+0200,5,15,0,0,45,15,118740,50987,169727,191.1608,,max_round_no_majority,Candidate C,0,0.797081,0.739604,0.91013,0.375,0.25,0.625,0.298905,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_018/metadata.json,1,1,0,1,0.25,0.625,0.25,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0.739604,0.91013,0.74151
low_treatment_20260508_195017_019,low,treatment,True,transparency_experiment,completed,20260508_214137,2026-05-08T21:44:31+0200,5,15,0,0,45,15,113733,46767,160500,173.1316,Candidate C,max_round_majority_vote,Candidate C,1,0.752273,0.661048,0.901043,0.5,0.25,0.625,0.376136,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_019/metadata.json,0,1,2,0,0.625,0.625,0.25,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0.694728,0.901043,0.661048
low_treatment_20260508_195017_020,low,treatment,True,transparency_experiment,completed,20260508_214434,2026-05-08T21:48:00+0200,5,15,0,0,45,15,113885,46844,160729,206.3742,,max_round_no_majority,Candidate C,0,0.902543,0.890955,0.913842,0.541667,0.25,0.875,0.488878,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_020/metadata.json,1,0,1,1,0.5,0.25,0.875,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0.890955,0.902831,0.913842
low_treatment_20260508_195017_021,low,treatment,True,transparency_experiment,completed,20260508_214803,2026-05-08T21:51:26+0200,5,15,0,0,45,15,112554,45473,158027,202.6023,Candidate B,max_round_majority_vote,Candidate C,0,0.82497,0.767619,0.904509,0.083333,0.0,0.25,0.068747,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_021/metadata.json,1,2,0,0,0.0,0.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.802782,0.904509,0.767619
low_treatment_20260508_195017_022,low,treatment,True,transparency_experiment,completed,20260508_215129,2026-05-08T21:53:09+0200,2,6,0,0,18,6,43195,21998,65193,99.5819,Candidate C,consensus,Candidate C,1,0.905843,0.90335,0.90723,0.875,0.625,1.0,0.792613,embedding_cosine,rule_based_binary_checks,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260508_195017_022/metadata.json,0,0,3,0,1.0,0.625,1.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.90335,0.906949,0.90723
